virus,term,estimate,std_error,conf_low,conf_high,ind
bvic,theta,-2.430731871276891,0.19949899530810836,-2.8217427170327083,-2.0397210255210734,2
bvic,beta_0,-6.6356344616702545,3.8240750445335525,-14.130683823134419,0.8594148997939097,2
bvic,beta_loghimid,1.6913486012013803,0.8050934169153998,0.11339449985690675,3.269302702545854,2
bvic,theta,-2.0423405396599095,1.853503514844318,-5.675140673973173,1.5904595946533542,3
bvic,beta_0,-2.0603799442166117,5.5760016712898395,-12.989142397679844,8.86838250924662,3
bvic,beta_loghimid,0.9629346494504133,0.8115116033351942,-0.6275988661229214,2.553468165023748,3
bvic,theta,-2.3099907609173083,0.4482620334035075,-3.1885682020248733,-1.4314133198097432,5
bvic,beta_0,-3.1042372613030578,3.157184286321708,-9.292204755049397,3.0837302324432825,5
bvic,beta_loghimid,0.8285623859903091,0.5256722080613364,-0.20173620948355597,1.8588609814641741,5
bvic,theta,-2.212527306527626,0.6364297282900823,-3.4599066526667994,-0.9651479603884527,6
bvic,beta_0,-2.8083599547452534,3.5914647330988765,-9.847501483364807,4.230781573874301,6
bvic,beta_loghimid,0.8743325693445012,0.5949492215118282,-0.29174647744882454,2.0404116161378267,6
bvic,theta,-2.5266178132424177,0.2768674193709965,-3.069267983702118,-1.9839676427827175,9
bvic,beta_0,-4.196281357469304,3.1490907195612174,-10.368385751858611,1.975823036920004,9
bvic,beta_loghimid,0.9559578430752681,0.5568306513245157,-0.13541017900876307,2.047325865159299,9
bvic,theta,-2.3552467838530555,1.1300799970566224,-4.570162877733165,-0.14033068997294595,11
bvic,beta_0,-2.0775885095291073,4.349098190271139,-10.601664327688866,6.446487308630651,11
bvic,beta_loghimid,0.7434992744632599,0.6314852981251542,-0.49418916662858103,1.9811877155551008,11
bvic,theta,-2.499099205050754,0.19994937205913904,-2.890992773018066,-2.107205637083442,12
bvic,beta_0,-7.11535506995158,3.7125551737599616,-14.391829501138945,0.16111936123578552,12
bvic,beta_loghimid,1.7793252150828085,0.7997537111397419,0.21183674474666492,3.346813685418952,12
bvic,theta,-2.001829405862607,2.215503941018355,-6.344137337865133,2.3404785261399197,13
bvic,beta_0,-1.386231991228831,5.6832263886259735,-12.525151028923373,9.752687046465711,13
bvic,beta_loghimid,0.644492496534143,0.6734501307311624,-0.6754455050827262,1.9644304981510121,13
bvic,theta,-1.2976886046220997,8.42732050198565,-17.814933274689977,15.21955606544578,17
bvic,beta_0,0.021613835253855896,10.224389606610892,-20.01782155760914,20.06104922811685,17
bvic,beta_loghimid,0.5608167202067003,0.647682361541364,-0.7086173818362231,1.8302508222496237,17
bvic,theta,-2.2821484880509613,0.49737130869236174,-3.2569783400315435,-1.307318636070379,18
bvic,beta_0,-3.6916661737859706,4.031802029916426,-11.593852945217645,4.210520597645704,18
bvic,beta_loghimid,1.159641739697915,0.7617313673927751,-0.333324306286372,2.652607785682202,18
bvic,theta,-2.423994268163746,0.6380704297214213,-3.674589330017727,-1.173399206309765,20
bvic,beta_0,-2.8480325825663293,3.743322283870716,-10.184809441479151,4.488744276346493,20
bvic,beta_loghimid,0.863134393643471,0.6075559237217398,-0.327653335445103,2.053922122732045,20
bvic,theta,-1.159854185904835,6.307257486286407,-13.521851700246824,11.202143328437153,23
bvic,beta_0,-0.1196722207434149,7.911832694110437,-15.626579352906374,15.387234911419545,23
bvic,beta_loghimid,0.5312601495546202,0.5410405810260736,-0.5291599034311086,1.5916802025403491,23
bvic,theta,-2.2448009283396466,0.260363759117347,-2.755104519089109,-1.7344973375901844,25
bvic,beta_0,-5.041765656541565,3.679987337294699,-12.254408301202625,2.1708769881194954,25
bvic,beta_loghimid,1.439248788997143,0.7756412818364365,-0.08098018832475384,2.95947776631904,25
bvic,theta,-2.5369231466989923,0.7458104511445365,-3.998684770235853,-1.0751615231621316,26
