virus,term,estimate,std_error,conf_low,conf_high,ind
H1N1pdm,theta,-1.1429588594750948,0.7330530236688898,-2.579716384624306,0.2937986656741167,1
H1N1pdm,beta_0,-2.827837095475367,2.4582253407977923,-7.645870229322739,1.9901960383720052,1
H1N1pdm,beta_logHImid,1.3127057806650897,0.5061840473961688,0.3206032782198832,2.304808283110296,1
H1N1pdm,theta,-1.1879666210424642,0.5195380028367024,-2.2062423952022687,-0.16969084688265945,2
H1N1pdm,beta_0,-2.9832006618996827,2.083625786429765,-7.067032160560967,1.100630836761602,2
H1N1pdm,beta_logHImid,1.2660135312283527,0.4460895291995094,0.39169412011688565,2.14033294233982,2
H1N1pdm,theta,-0.8653586901337673,1.0203926788518578,-2.8652915907717538,1.1345742105042191,3
H1N1pdm,beta_0,-2.4450785913828756,2.5484377833158702,-7.43992486352307,2.549767680757319,3
H1N1pdm,beta_logHImid,1.265986645274291,0.4907018692125623,0.3042286544711851,2.227744636077397,3
H1N1pdm,theta,-1.565965949634158,0.18116208976326648,-1.9210371209341726,-1.2108947783341435,4
H1N1pdm,beta_0,-5.457998974992077,2.3064854258360326,-9.97862734049723,-0.9373706094869245,4
H1N1pdm,beta_logHImid,2.0042741726152387,0.6158793991548395,0.7971727314515853,3.211375613778892,4
H1N1pdm,theta,-1.3896260686375919,0.4208457752635723,-2.214468631200031,-0.5647835060751527,5
H1N1pdm,beta_0,-3.3722329020067168,2.3315885220472587,-7.942062431986317,1.1975966279728834,5
H1N1pdm,beta_logHImid,1.272373468179997,0.5063301139229435,0.27998468060296544,2.2647622557570286,5
H1N1pdm,theta,-1.1483902645161854,0.5926708044684474,-2.3100036959627226,0.013223166930351749,6
H1N1pdm,beta_0,-2.9481370879360442,2.261529284478779,-7.3806530354970885,1.484378859625,6
H1N1pdm,beta_logHImid,1.2769180358256962,0.47861605436038773,0.3388478068566717,2.2149882647947208,6
H1N1pdm,theta,-1.179434160009327,0.7121781328266633,-2.5752776509265694,0.2164093309079156,9
H1N1pdm,beta_0,-2.583045557126545,2.4406514914012503,-7.366634579086964,2.2005434648338733,9
H1N1pdm,beta_logHImid,1.1259107345173953,0.4787722890493767,0.18753429118481668,2.064287177849974,9
H1N1pdm,theta,-0.7658085086653904,1.696501119259855,-4.090889602146596,2.5592725848158153,10
H1N1pdm,beta_0,-1.6921232758745754,3.096841556993955,-7.761821193409671,4.37757464166052,10
H1N1pdm,beta_logHImid,1.0325759946176214,0.4858035905606788,0.08041845355844868,1.9847335356767941,10
H1N1pdm,theta,-0.792853104124028,1.5635214421579742,-3.857298819809782,2.2715926115617258,11
H1N1pdm,beta_0,-1.8227733587472397,2.9376879963438887,-7.580536029396894,3.934989311902415,11
H1N1pdm,beta_logHImid,1.1058592408120806,0.4812883699306139,0.1625513695700873,2.049167112054074,11
H1N1pdm,theta,-1.0507348462178336,0.728306208655862,-2.4781887849002366,0.37671909246456936,12
H1N1pdm,beta_0,-2.5178904134850355,2.357049270511763,-7.137622093474498,2.1018412665044264,12
H1N1pdm,beta_logHImid,1.1044160933633491,0.4567925532139368,0.20911914065793702,1.999713046068761,12
H1N1pdm,theta,-1.4002367646164204,0.4140225976237815,-2.211706144744751,-0.5887673844880903,13
H1N1pdm,beta_0,-3.5774284071174165,2.2713143260816975,-8.029122683807408,0.8742658695725742,13
H1N1pdm,beta_logHImid,1.436196671237162,0.5215888227443412,0.4139013639196074,2.458491978554717,13
H1N1pdm,theta,-1.2632001811236502,0.5332487424297285,-2.3083485110871935,-0.2180518511601066,14
H1N1pdm,beta_0,-3.3858417170036557,2.427888090225005,-8.144414932338398,1.3727314983310865,14
H1N1pdm,beta_logHImid,1.4438899176483995,0.543925536266078,0.3778154562952518,2.509964379001547,14
H1N1pdm,theta,-1.2233180887732966,0.4174049702776061,-2.0414167974854163,-0.4052193800611772,15
H1N1pdm,beta_0,-3.826783441150322,2.2165889992679726,-8.171218048243228,0.5176511659425835,15
H1N1pdm,beta_logHImid,1.6128256073965093,0.5351551927601195,0.5639407034470851,2.6617105113459334,15
H1N1pdm,theta,-1.3518740625816568,0.37613729768003307,-2.0890896192767427,-0.6146585058865709,16
H1N1pdm,beta_0,-3.8808382397438717,2.2681262135412883,-8.326283930675999,0.5646074511882562,16
H1N1pdm,beta_logHImid,1.5539416071234005,0.5399178702420792,0.4957220268393554,2.6121611874074455,16
H1N1pdm,theta,-1.2393151685507982,0.9068952399097773,-3.016797176524773,0.5381668394231767,17
H1N1pdm,beta_0,-2.7667611230695117,2.9364918965517357,-8.522179481204631,2.988657235065607,17
H1N1pdm,beta_logHImid,1.327830202970752,0.6002285606124925,0.15140384167795018,2.504256564263554,17
H1N1pdm,theta,-1.3856100132047184,0.3013882953433903,-1.9763202174396841,-0.7948998089697528,18
H1N1pdm,beta_0,-4.266303196059631,2.115823587680984,-8.413241225554685,-0.1193651665645783,18
H1N1pdm,beta_logHImid,1.6953926241680772,0.5302568480098604,0.6561082995130216,2.734676948823133,18
H1N1pdm,theta,-1.264593873658434,0.3334340048378387,-1.9181125143615518,-0.6110752329553161,19
H1N1pdm,beta_0,-3.8493781821266655,2.035214675446698,-7.838325646809568,0.1395692825562369,19
H1N1pdm,beta_logHImid,1.5044109831575294,0.48205821164500295,0.5595942498815369,2.449227716433522,19
H1N1pdm,theta,-1.3873373472094543,0.353286602342573,-2.0797663640214212,-0.6949083303974876,20
H1N1pdm,beta_0,-4.5422057389620445,2.506573055986966,-9.454998653314998,0.37058717539090846,20
