virus,model,loghi,postvax,proxy,loghr,se,loghr_low,loghr_high,prot,prot_low,prot_high,se_wrong,loghr_low_wrong,loghr_high_wrong,prot_low_wrong,prot_high_wrong
A H1N1pdm09,sophia,0,-1.6094379124341003,0,0.5061317749982492,0.2905878867213024,-0.06341001731910845,1.075673567315607,-0.65886191687435125,-1.9319671127942475,0.061441430482662485,0.20034845932182369,0.11345601036938685,0.8988075396271116,-1.4566718799497327,-0.12014261314879104
A H1N1pdm09,sophia,0.0087,-1.6007379124341004,0,0.5033958220245647,0.28901708079275823,-0.06306724724614432,1.0698588912952736,-0.6543295516761958,-1.9149681435756358,0.06111966555076376,0.20034845932182369,0.11072005739570229,0.896071586653427,-1.449959727468138,-0.11708214419404372
A H1N1pdm09,sophia,0.0174,-1.5920379124341002,0,0.5006598690508801,0.2874462748642139,-0.06272447717318008,1.0640442152749403,-0.649809569868171,-1.898067731040432,0.06079779030857124,0.20034845932182369,0.10798410442201772,0.8933356336797424,-1.4432659140212767,-0.11403003709439696
A H1N1pdm09,sophia,0.026099999999999998,-1.5833379124341003,0,0.4979239160771955,0.28587546893566973,-0.06238170710021612,1.058229539254607,-0.6453019376162088,-1.8812653037763498,0.060475804718267745,0.20034845932182369,0.1052481514483331,0.8905996807060579,-1.4365903895029883,-0.11098626900347575
A H1N1pdm09,sophia,0.0348,-1.5746379124341003,0,0.495187963103511,0.28430466300712554,-0.06203893702725194,1.052414863234274,-0.6408066211786838,-1.8645602936840415,0.060153708742022416,0.20034845932182369,0.1025121984746486,0.8878637277323733,-1.4299331039440122,-0.10795081713732668
A H1N1pdm09,sophia,0.0435,-1.5659379124341002,0,0.49245201012982637,0.2827338570785813,-0.06169616695428787,1.0466001872139405,-0.6363235869061594,-1.8479521359578843,0.05983150234199197,0.20034845932182369,0.09977624550096398,0.8851277747586888,-1.4232940075116138,-0.10492365877424659
A H1N1pdm09,sophia,0.052199999999999996,-1.5572379124341003,0,0.4897160571561418,0.28116305115003704,-0.06135339688132374,1.0407855111936073,-0.6318528012411364,-1.831440269066892,0.059509185480319915,0.20034845932182369,0.09704029252727941,0.8823918217850042,-1.4166730505092135,-0.10190477125461328
A H1N1pdm09,sophia,0.060899999999999996,-1.5485379124341003,0,0.48698010418245724,0.27959224522149284,-0.061010626808359614,1.034970835173274,-0.627394230717802,-1.8150241347357214,0.05918675811913665,0.20034845932182369,0.09430433955359485,0.8796558688113196,-1.4100701833760128,-0.09889413198071506
A H1N1pdm09,sophia,0.0696,-1.5398379124341002,0,0.4842441512087726,0.2780214392929486,-0.06066785673539554,1.0291561591529408,-0.6229478419617793,-1.7987031779258018,0.05886422022056004,0.20034845932182369,0.09156838657991023,0.8769199158376351,-1.4034853566866237,-0.0958917184165824
A H1N1pdm09,sophia,0.0783,-1.5311379124341002,0,0.48150819823508806,0.27645063336440434,-0.060325086662431304,1.0233414831326075,-0.6185136016898771,-1.7824768468165662,0.05854157174669439,0.20034845932182369,0.08883243360622567,0.8741839628639505,-1.396918521150699,-0.09289750808781849
A H1N1pdm09,sophia,0.087,-1.5224379124341003,0,0.4787722452614035,0.27487982743586015,-0.05998231658946729,1.0175268071122743,-0.6140914767098411,-1.7663445927867945,0.05821881265963158,0.20034845932182369,0.0860964806325411,0.8714480098902659,-1.3903696276125634,-0.08991147858143189
A H1N1pdm09,sophia,0.0957,-1.5137379124341004,0,0.476036292287719,0.27330902150731595,-0.05963954651650322,1.0117121310919412,-0.6096814339201053,-1.7503058703960663,0.05789594292145006,0.20034845932182369,0.0833605276588566,0.8687120569165814,-1.3838386270508454,-0.08693360754566748
