virus,loghi,loghimid,loghr,se,loghr_low,loghr_high,prot,prot_low,prot_high,se_wrong,loghr_low_wrong,loghr_high_wrong,prot_low_wrong,prot_high_wrong
bvic,0,-1.6094379124341003,0.8453641865535659,0.23002065786339862,0.39453198144109475,1.296196391666037,-1.3288257871880411,-2.6553666092718653,-0.48368963411643295,0.14291987040091364,0.5652463878926431,1.1254819852144888,-2.0817018257363165,-0.7598813427629947
bvic,0.0087,-1.6007379124341004,0.8407944741302437,0.22877725499091067,0.3923992938661225,1.2891896543943648,-1.3182080016467732,-2.6298439355618397,-0.480528759445771,0.14291987040091364,0.5606766754693209,1.1209122727911665,-2.0676514621291218,-0.7518575383297319
bvic,0.0174,-1.5920379124341002,0.8362247617069213,0.22753385211842272,0.3902666062911502,1.2821829171226924,-1.307638625638936,-2.6044994674719164,-0.47737461874996057,0.14291987040091364,0.5561069630459985,1.116342560367844,-2.053665158164507,-0.7438703167251055
bvic,0.026099999999999998,-1.5833379124341003,0.831655049283599,0.22629044924593478,0.3881339187161779,1.2751761798510202,-1.2971174384515658,-2.579331960726383,-0.4742271976828407,0.14291987040091364,0.5515372506226762,1.111772847944522,-2.039742621776166,-0.7359195111574948
bvic,0.0348,-1.5746379124341003,0.8270853368602767,0.22504704637344683,0.38600123114120566,1.2681694425793477,-1.2866442203779904,-2.554340179737366,-0.4710864819288132,0.14291987040091364,0.546967538199354,1.1072031355211995,-2.025883562229405,-0.7280049555957286
bvic,0.0435,-1.5659379124341002,0.8225156244369544,0.22380364350095885,0.3838685435662334,1.2611627053076753,-1.2762187527132451,-2.5295228975441737,-0.4679524572027789,0.14291987040091364,0.5423978257760316,1.1026334230978772,-2.0120876901150746,-0.7201264847656208
bvic,0.052199999999999996,-1.5572379124341003,0.8179459120136321,0.22256024062847093,0.3817358559912611,1.254155968036003,-1.2658408177495035,-2.5048788957530572,-0.4648251092500706,0.14291987040091364,0.5378281133527093,1.098063710674555,-1.9983547173435259,-0.7122839341465168
bvic,0.060899999999999996,-1.5485379124341003,0.8133761995903098,0.221316837755983,0.3796031684162888,1.2471492307643308,-1.2555101987715314,-2.480406964477393,-0.461704423846391,0.14291987040091364,0.533258400929387,1.0934939982512326,-1.98468435713859,-0.7044771399678598
bvic,0.0696,-1.5398379124341002,0.8088064871669874,0.220073434883495,0.3774704808413165,1.2401424934926584,-1.2452266800521619,-2.4561059022782845,-0.4585903867977448,0.14291987040091364,0.5286886885060647,1.0889242858279102,-1.9710763240315963,-0.6967059392057686
bvic,0.0783,-1.5311379124341002,0.8042367747436652,0.21883003201100706,0.3753377932663443,1.2331357562209861,-1.2349900468477895,-2.4319745161055817,-0.45548298394037756,0.14291987040091364,0.5241189760827424,1.084354573404588,-1.957530333855407,-0.6889701695796364
bvic,0.087,-1.5224379124341003,0.7996670623203429,0.21758662913851914,0.373205105691372,1.226129018949314,-1.224800085393888,-2.4080116212393037,-0.4523822011407077,0.14291987040091364,0.5195492636594201,1.0797848609812657,-1.944046103738482,-0.6812696695487392
bvic,0.0957,-1.5137379124341004,0.7950973498970206,0.2163432262660312,0.37107241811639974,1.2191222816776415,-1.2146565829005431,-2.384216041231477,-0.44928802429526526,0.14291987040091364,0.5149795512360978,1.0752151485579433,-1.9306233520989764,-0.6736042783088638
bvic,0.10439999999999999,-1.5050379124341002,0.7905276374736983,0.21509982339354322,0.3689397305414274,1.212115544405969,-1.2045593275480124,-2.3605866078483793,-0.44620043933062625,0.14291987040091364,0.5104098388127755,1.0706454361346212,-1.9172617986388567,-0.6659738357889495
bvic,0.11309999999999999,-1.4963379124341003,0.785957925050376,0.2138564205210553,0.36680704296645517,1.2051088071342968,-1.1945081084823004,-2.3371221610131876,-0.44311943220334893,0.14291987040091364,0.5058401263894532,1.0660757237112988,-1.9039611643380474,-0.658378182647746
bvic,0.12179999999999999,-1.4876379124341004,0.7813882126270537,0.21261301764856735,0.3646743553914829,1.1981020698626246,-1.1845027158107544,-2.313821548749018,-0.4400449888999096,0.14291987040091364,0.5012704139661309,1.0615060112879764,-1.8907211714486079,-0.6508171602704849
bvic,0.1305,-1.4789379124341002,0.7768185002037313,0.21136961477607938,0.3625416678165106,1.1910953325909521,-1.174542940597683,-2.2906836271223767,-0.43697709543663943,0.14291987040091364,0.49670070154280854,1.0569362988646542,-1.8775415434889298,-0.643290610765568
bvic,0.1392,-1.4702379124341003,0.7722487877804091,0.21012621190359143,0.36040898024153833,1.1840885953192797,-1.1646285748599938,-2.2677072601869956,-0.43391573785966076,0.14291987040091364,0.4921309891194863,1.0523665864413319,-1.864422005237961,-0.6357983769612714
bvic,0.14789999999999998,-1.4615379124341004,0.7676790753570868,0.2088828090311035,0.3582762926665661,1.1770818580476075,-1.1547594115628472,-2.244891319928066,-0.4308609022448233,0.14291987040091364,0.487561276696164,1.0477968740180095,-1.8513622827294647,-0.6283403024024607
bvic,0.1566,-1.4528379124341002,0.7631093629337644,0.20763940615861554,0.35614360509159376,1.170075120775935,-1.1449352446153362,-2.222234686206854,-0.4278125746976409,0.14291987040091364,0.4829915642728416,1.0432271615946873,-1.8383621032462938,-0.6209162313473264
bvic,0.1653,-1.4441379124341003,0.7585396505104421,0.2063960032861276,0.3540109175166215,1.1630683835042628,-1.1351558688661818,-2.1997362467057155,-0.42477074135322845,0.14291987040091364,0.47842185184951935,1.038657449171365,-1.8254211953146955,-0.6135260087641305
