logHI,prob_type,prob_lb,prob_med,prob_ub,prob_lb_prior,prob_med_prior,prob_ub_prior
0,inf,0.09241353073043065,0.16660294964869476,0.2616252529140984,0.0017891325802325416,0.46196620786580567,0.9715430790127758
0,prot,6.027736089986302e-7,0.00762382746958451,0.7688905562093583,1.1102230246251565e-15,3.0449785615171976e-7,0.9925779978864682
0.075,inf,0.09145977352676131,0.16618986491484988,0.2593967894718485,0.001341498275053428,0.4589252950434829,0.9713380217316818
0.075,prot,7.51620365840866e-7,0.008401508970986127,0.7736256056900823,1.5543122344752192e-15,4.432633979867262e-7,0.9948634306148959
0.15,inf,0.09030445755186263,0.16578846300632677,0.2577363549259753,0.0010345432499823917,0.45445133345688815,0.9711279419404214
0.15,prot,9.434263795543578e-7,0.00924296910331579,0.7782464172599055,1.9984014443252818e-15,6.442947293461287e-7,0.9964582944210251
0.22499999999999998,inf,0.08935842901873983,0.1653229427406665,0.25580965410399736,6.620749547918958e-4,0.4501384447581065,0.9707599796591627
0.22499999999999998,prot,1.1617603429436857e-6,0.010173478393124769,0.7827397231146108,2.8810287489023115e-15,9.23697026977699e-7,0.9977616731120865
0.3,inf,0.08821261621548215,0.16481511438068142,0.25372313280566966,4.358027679480371e-4,0.4449769768460753,0.9705158018287318
0.3,prot,1.467953511621878e-6,0.011188413708936695,0.7872103760056621,3.552713678800501e-15,1.3152395370030767e-6,0.998584292265872
0.375,inf,0.08712607282535154,0.16433774950290414,0.2517027673457535,2.757994356804818e-4,0.43990033553317653,0.9701614202161252
0.375,prot,1.8371498234498464e-6,0.01231209952213036,0.7916330568571388,4.6629367034256575e-15,1.921892078149412e-6,0.9991813158597879
0.44999999999999996,inf,0.08610784561768542,0.16386922936257659,0.24990654798242562,1.5966914768562415e-4,0.43429924935898045,0.9695666564095805
0.44999999999999996,prot,2.3220529839329555e-6,0.013578734698931616,0.7962823603405725,5.773159728050814e-15,2.812371635241284e-6,0.9994971224340591
0.525,inf,0.08494895525839591,0.16333801503190715,0.24795920413328104,8.948209570821132e-5,0.4285656127712749,0.9691162002499256
0.525,prot,2.894420074125992e-6,0.01493205610699666,0.8005464707399246,6.661338147750939e-15,4.096661059882489e-6,0.9997176948555273
0.6,inf,0.08365074841769539,0.16281882394592398,0.24587809644710107,5.209464870459952e-5,0.42193096667041785,0.9686356733243501
0.6,prot,3.592733278684479e-6,0.01641421705818935,0.8046790166076085,7.993605777301127e-15,6.0479146666847505e-6,0.9998323852706629
0.6749999999999999,inf,0.08248196291399909,0.16218695371849962,0.24431802779944498,2.901789421555517e-5,0.41474604614102956,0.9680925863381239
