logHI,prob_type,prob_lb,prob_med,prob_ub,prob_lb_prior,prob_med_prior,prob_ub_prior
0,inf,0.1457048091023548,0.17194206470986018,0.4145000786191539,0.0023577484601075673,0.453984637697853,0.9720358262719776
0,prot,3.949458079213625e-4,0.01320379106366698,0.44753268251985356,1.1102230246251565e-15,3.013623774972274e-7,0.989572730690929
0.075,inf,0.14560059219575186,0.17166723012430052,0.4069389093038954,0.0017553148501872763,0.4514142764765326,0.9717371093784516
0.075,prot,4.71075350481745e-4,0.014750878238379617,0.46036477351122435,1.5543122344752192e-15,4.393082464471121e-7,0.9930950947833397
0.15,inf,0.1454920375016028,0.17133128203129677,0.40067715086880057,0.0012524282347333552,0.447823606067343,0.9714148249105398
0.15,prot,5.620803988070746e-4,0.016485594385663993,0.4732236157840206,2.4424906541753444e-15,6.28412909375875e-7,0.9952404671612605
0.22499999999999998,inf,0.14539588777948653,0.17096903940252914,0.3942218496097789,8.625968874583416e-4,0.44300523776903833,0.9712640786230455
0.22499999999999998,prot,6.7102638758354e-4,0.0184030523328782,0.48728438271221913,3.325117958752374e-15,9.172381590927259e-7,0.9971083097168836
0.3,inf,0.14527588117013715,0.1705824104946253,0.3869962151020586,5.690137888328105e-4,0.43804499334607616,0.9708549868510726
0.3,prot,7.994261605778069e-4,0.020560682836661515,0.5004891425687374,4.218847493575595e-15,1.3203796241922916e-6,0.9981148114224331
0.375,inf,0.14512530780606345,0.17014076774352815,0.37915232580711106,3.629718749322108e-4,0.4324501129418392,0.970228381013396
0.375,prot,9.572209994081094e-4,0.022931156250438844,0.5137302226461631,5.551115123125783e-15,1.9439804492815682e-6,0.9988437999149818
0.44999999999999996,inf,0.14490518429995117,0.16963626666923537,0.3712749996106761,2.161289181316869e-4,0.425574696632956,0.9698452357052265
0.44999999999999996,prot,0.0011404421389480891,0.025578559049466543,0.5273249103527878,6.8833827526759706e-15,2.8172547624771838e-6,0.9993187898514313
0.525,inf,0.14465758117269392,0.16905719250592555,0.3625135822410133,1.2658284753150684e-4,0.4196287604214203,0.969207106220492
0.525,prot,0.0013578838054955358,0.0285105374533679,0.5410260720342658,8.654188476953126e-15,4.134259863619594e-6,0.9995920782844494
0.6,inf,0.14442227212124698,0.16845794543776282,0.3544557020257189,7.021803721730336e-5,0.41406305264158216,0.9687801683685535
0.6,prot,0.0016240554501549486,0.03179955887137892,0.5540841604727745,9.992007221626409e-15,5.962408364146299e-6,0.9997690938931164
0.6749999999999999,inf,0.14415217780353604,0.1677782017240269,0.34613318897651796,4.11554861088018e-5,0.4071782633008241,0.9680336796056597
0.6749999999999999,prot,0.0019340624350380087,0.035384224814702214,0.5671572790939219,1.1546319456101628e-14,8.481791825831753e-6,0.999873700350152
0.75,inf,0.14384630121546874,0.1670642885125066,0.3369868758598477,2.2700054137486824e-5,0.4006779098001897,0.9672957719130487
0.75,prot,0.0023055986225189117,0.039414467260250274,0.5808657993476588,1.2878587085651816e-14,1.2536533413654016e-5,0.9999327569963274
0.825,inf,0.1434168586795389,0.16622220773048088,0.3279190083217451,1.1887510590715919e-5,0.39257496096405015,0.9668273687223894
0.825,prot,0.0027509049810729913,0.04381251244636175,0.5938865125394923,1.4432899320127035e-14,1.7779286945462935e-5,0.9999648506338944
0.8999999999999999,inf,0.14289133525993308,0.1653021962705767,0.31877534675195557,6.0294918344498984e-6,0.3847284451636806,0.9661279008099355
0.8999999999999999,prot,0.003290634869899448,0.048701646650131325,0.607004707737686,1.6431300764452317e-14,2.599408583259244e-5,0.9999816768435771
0.975,inf,0.14223941590656036,0.16435307419513445,0.30947833290719684,3.1154381958471804e-6,0.37634594880806094,0.9657613373960694
0.975,prot,0.0039188840683385935,0.05415755560812996,0.6196277045033717,1.6431300764452317e-14,3.730634161508428e-5,0.9999907557634454
1.05,inf,0.14141408464062688,0.16338578511231788,0.30058071179505164,1.5168191684883553e-6,0.3678382073515116,0.9651812549114351
1.05,prot,0.004673530799739302,0.06019225117777938,0.633205590189969,1.620370504440419e-14,5.513938220308434e-5,0.9999955089292536
1.125,inf,0.1404954018318933,0.16227892840118646,0.2910923256103873,7.333591896366156e-7,0.35915742034213827,0.9642465789604958
1.125,prot,0.005572569260005452,0.06688778486717539,0.6467023017481115,1.6209256159527285e-14,7.966458151897893e-5,0.999997758137297
1.2,inf,0.1392716591560864,0.16114189506631516,0.28175458643130064,3.4633059785557395e-7,0.34825339183590887,0.9637791134094851
1.2,prot,0.006657692807512172,0.07424507523231116,0.6589897125989839,1.6209256159527285e-14,1.1788325571926439e-4,0.9999989667933439
1.275,inf,0.1378844919744777,0.15987112999409742,0.27193771691828056,1.6344845189921305e-7,0.33771618337923326,0.9626029177120787
1.275,prot,0.007896287770357816,0.08231099167672634,0.671580048515572,1.554312234475219e-14,1.717229136227183e-4,0.9999995212152839
1.3499999999999999,inf,0.13609466105811785,0.15844917231069028,0.2620188414309378,7.746248521942445e-8,0.32650119823245016,0.9617770416882391
1.3499999999999999,prot,0.009412278684408202,0.09105833171568206,0.6846358422625666,1.5765166949677223e-14,2.4940494111441724e-4,0.9999997708808196
1.425,inf,0.1341465693287374,0.1569257975302692,0.252132223083605,3.438163784381661e-8,0.3158799211946484,0.9610919560867068
1.425,prot,0.011205585976227384,0.10076285251765793,0.6970405599366846,1.4432899320127035e-14,3.6124266241371883e-4,0.9999998973558644
1.5,inf,0.1319930503988255,0.15521637747075673,0.24202169509652277,1.5675078532535674e-8,0.30303275958597387,0.9599910610940112
1.5,prot,0.013296312393896842,0.11151234183545533,0.7078708817437699,1.442734820500394e-14,5.109263499954442e-4,0.9999999551287454
1.575,inf,0.12959822649602554,0.15343258722642694,0.23210652591695988,6.695487762374864e-9,0.2907875951451437,0.9593622235353754
1.575,prot,0.015791094332194534,0.12301549029918896,0.7192791637039229,1.354472090042691e-14,7.561313046673956e-4,0.9999999804493662
1.65,inf,0.12684858968303192,0.15144300546419873,0.22218588682923796,2.8448372389357585e-9,0.27958981596043475,0.9584358622632966
1.65,prot,0.018671746892871915,0.13575533519704402,0.730828986188785,1.2650991365603689e-14,0.0010910140761592468,0.9999999913440586
1.7249999999999999,inf,0.12384669754341288,0.1493589183564777,0.21264893983949273,1.2517076952580307e-9,0.2669509550939752,0.9575749619032037
1.7249999999999999,prot,0.022105639924075573,0.1495400719271266,0.7421620729272269,1.1324274851176597e-14,0.0015799161151289765,0.999999996496378
1.7999999999999998,inf,0.12052755344082754,0.14716692935732303,0.2033101884169106,5.21237376961459e-10,0.25512360992912814,0.956527484824471
1.7999999999999998,prot,0.02615135778902366,0.1643737303878176,0.7531452093318503,9.992007221626409e-15,0.002272642929242563,0.999999998523742
1.875,inf,0.11709414072845124,0.14474549839490353,0.19431048306375914,2.2516838488708033e-10,0.243581384684191,0.9555071218539049
1.875,prot,0.030958466004278477,0.1802998530544363,0.7641490703444036,8.881784197001252e-15,0.0033049124499965332,0.9999999993564976
1.95,inf,0.11344388576478823,0.142148898234657,0.18580684949653226,9.221083548592964e-11,0.2304210163316439,0.9543358716704837
1.95,prot,0.03659576568684835,0.19752661051167464,0.7746338400603549,7.766010057253e-15,0.004745519035301904,0.9999999997399026
2.025,inf,0.10960325745224642,0.1392665929457849,0.17791871513100918,3.7838578535838407e-11,0.21805685311665474,0.9535149323202883
2.025,prot,0.04329296842586647,0.2159756558115284,0.7853791942118511,6.8833827526759706e-15,0.006930674704532125,0.9999999998928826
2.1,inf,0.10571316441770903,0.13614669769701507,0.17014068625498538,1.5180274343854828e-11,0.2055904341637,0.9522240216718311
2.1,prot,0.0509785094763847,0.2357819470283815,0.7960545795486113,5.995204332975845e-15,0.010072560605933756,0.999999999955298
2.175,inf,0.10176041626242813,0.13285497221718384,0.1629803292284255,6.1915619950257044e-12,0.19370923378950117,0.9509637703786741
2.175,prot,0.059723975091387674,0.2567353101899139,0.8065907896886143,5.3290705182007514e-015,0.014529952455460127,0.9999999999827678
2.25,inf,0.09795460212815091,0.12924164789565068,0.15687717263444384,2.4888919247526825e-12,0.18155231602076127,0.9497697580572365
2.25,prot,0.07017204912493405,0.2786806349899459,0.8166039439174001,4.440892098500626e-15,0.021198091054459245,0.9999999999928825
2.3249999999999997,inf,0.09406732440362997,0.12526242624502487,0.15180163951093462,9.965986799690303e-13,0.16905479655554373,0.9488836161831188
2.3249999999999997,prot,0.08189803221064823,0.3020444266385942,0.8261714099616491,3.552713678800501e-15,0.03155304987431656,0.9999999999970207
2.4,inf,0.09009111434776422,0.12095159219377133,0.1474178963472071,3.8968093769214107e-13,0.1571281322458278,0.9476237249642907
2.4,prot,0.09571994202945348,0.3264048697744016,0.8354097365798496,3.1086244689504383e-15,0.046041253013948735,0.9999999999988454
2.475,inf,0.08613752474610108,0.1162968232837137,0.1433616816847001,1.5161784536282032e-13,0.14454313836613916,0.9471333321942761
