logHI,prob_type,prob_lb,prob_med,prob_ub,prob_lb_prior,prob_med_prior,prob_ub_prior
0,inf,0.43905706860360294,0.48496947181822864,0.5919446776395503,0.0023577484601075673,0.453984637697853,0.9720358262719776
0,prot,1.1890890767632391e-5,0.001682770443723114,0.04166552064156307,1.1102230246251565e-15,3.013623774972274e-7,0.989572730690929
0.075,inf,0.4389724180613611,0.4847835126292531,0.5907161567611131,0.0017553148501872763,0.4514142764765326,0.9717371093784516
0.075,prot,1.4872722107586723e-5,0.0019209878881930043,0.044916977337302884,1.5543122344752192e-15,4.393082464471121e-7,0.9930950947833397
0.15,inf,0.4388846212106357,0.4845356016696958,0.5895816695054883,0.0012524282347333552,0.447823606067343,0.9714148249105398
0.15,prot,1.8563169899243906e-5,0.0021931082110486777,0.04827214603345498,2.4424906541753444e-15,6.28412909375875e-7,0.9952404671612605
0.22499999999999998,inf,0.43879288367674624,0.48427315627982215,0.588216886480264,8.625968874583416e-4,0.44300523776903833,0.9712640786230455
0.22499999999999998,prot,2.3177409490951488e-5,0.0025030406658106963,0.0517748025376064,3.325117958752374e-15,9.172381590927259e-7,0.9971083097168836
0.3,inf,0.4386527333686158,0.48398872956782985,0.5870102188350246,5.690137888328105e-4,0.43804499334607616,0.9708549868510726
0.3,prot,2.8862743383389902e-5,0.002857342386971884,0.05555948294325801,4.218847493575595e-15,1.3203796241922916e-6,0.9981148114224331
0.375,inf,0.43849084202670713,0.4836368257109579,0.5855429432493634,3.629718749322108e-4,0.4324501129418392,0.970228381013396
0.375,prot,3.608192862053773e-5,0.0032589526618597153,0.05982411059482723,5.551115123125783e-15,1.9439804492815682e-6,0.9988437999149818
0.44999999999999996,inf,0.438251182813997,0.48329922850045043,0.5837879105431505,2.161289181316869e-4,0.425574696632956,0.9698452357052265
0.44999999999999996,prot,4.517724655198341e-5,0.0037189482091762316,0.06425019863688168,6.8833827526759706e-15,2.8172547624771838e-6,0.9993187898514313
0.525,inf,0.43800634618108214,0.48290829192549534,0.5816447521528266,1.2658284753150684e-4,0.4196287604214203,0.969207106220492
0.525,prot,5.6494546059499e-5,0.004241736543464547,0.06884851258385646,8.654188476953126e-15,4.134259863619594e-6,0.9995920782844494
0.6,inf,0.4377451801409828,0.4824790494047676,0.5788827928785214,7.021803721730336e-5,0.41406305264158216,0.9687801683685535
0.6,prot,7.07265245519867e-5,0.004833417785005956,0.07386088559835283,9.992007221626409e-15,5.962408364146299e-6,0.9997690938931164
0.6749999999999999,inf,0.4373374098133045,0.4820362550024264,0.5769415629916276,4.11554861088018e-5,0.4071782633008241,0.9680336796056597
0.6749999999999999,prot,8.852875750943736e-5,0.005514739904549093,0.0790143257117686,1.1546319456101628e-14,8.481791825831753e-6,0.999873700350152
0.75,inf,0.4369757388826677,0.4814660677422021,0.5743168608756541,2.2700054137486824e-5,0.4006779098001897,0.9672957719130487
0.75,prot,1.0981795148899965e-4,0.006288969671976508,0.08454423133471327,1.2878587085651816e-14,1.2536533413654016e-5,0.9999327569963274
0.825,inf,0.43638198246747306,0.4808851854905757,0.5723643330770203,1.1887510590715919e-5,0.39257496096405015,0.9668273687223894
