virus,population,prob_type,loghi,prob_lb,prob_med,prob_ub
bvic,General,inf,0,0.1874428270985775,0.33521986021989314,0.5407701961941231
bvic,General,inf,0.087,0.18305262274226364,0.32441847787445044,0.5193404507602298
bvic,General,inf,0.174,0.17878074347579304,0.3135846481686082,0.49779973816043965
bvic,General,inf,0.261,0.1741865752201774,0.3030952108369055,0.4780271275725792
bvic,General,inf,0.348,0.17018186341281963,0.29299644167945205,0.45782945245408646
bvic,General,inf,0.43499999999999994,0.1660926599105838,0.282946234501534,0.43884700306994495
bvic,General,inf,0.522,0.16145150025383226,0.2732987322569249,0.4195239542232744
bvic,General,inf,0.609,0.1574541461572725,0.263678235893007,0.40046506497731865
bvic,General,inf,0.696,0.15334031751212163,0.25425425905714427,0.3816377887410012
bvic,General,inf,0.7829999999999999,0.14951624602023833,0.24490660788312302,0.3639391841403721
bvic,General,inf,0.8699999999999999,0.1452459585019173,0.23609572656497102,0.34671792348842867
bvic,General,inf,0.957,0.14089474934750715,0.22712751224452943,0.32954701536249154
bvic,General,inf,1.044,0.13703643468768617,0.21848273480685554,0.31262927354948455
bvic,General,inf,1.131,0.13289441963096443,0.21009033577304492,0.2973363325932138
bvic,General,inf,1.218,0.12914539425082056,0.20182735495939141,0.2826073049364039
bvic,General,inf,1.305,0.12555614553530212,0.19380710284188662,0.26903455691849953
bvic,General,inf,1.392,0.12134623833714964,0.1860788701983621,0.25593783597730313
bvic,General,inf,1.4789999999999999,0.11760194572702246,0.17845254926641085,0.24403143869697486
bvic,General,inf,1.5659999999999998,0.11398131423464258,0.17115800242152035,0.23330279536754842
bvic,General,inf,1.6529999999999998,0.10982522668496597,0.16414999971243172,0.22270058421187272
bvic,General,inf,1.7399999999999998,0.1056999961027422,0.1574022138412534,0.21297385684346015
bvic,General,inf,1.827,0.10209733393895855,0.15078449863805699,0.2039241200017144
bvic,General,inf,1.914,0.09798260513803153,0.1442926439378992,0.19543786953304157
bvic,General,inf,2.001,0.09355571814449243,0.1381832116104883,0.18723915065777977
bvic,General,inf,2.088,0.0895700154780095,0.13237927085030565,0.17945737806047912
bvic,General,inf,2.175,0.08467665442298729,0.12673945804074027,0.17211404169855082
bvic,General,inf,2.262,0.0808524259950951,0.12125142190140636,0.16537123163589237
bvic,General,inf,2.3489999999999998,0.07650390924630979,0.11612457325806469,0.15870192862367136
