virus,population,prob_type,loghi,prob_lb,prob_med,prob_ub
H1N1pdm,General,inf,0,0.37001656486779516,0.4670532134236398,0.5864904991896466
H1N1pdm,General,inf,0.087,0.3558226222128856,0.4475099846662466,0.5614531134104989
H1N1pdm,General,inf,0.174,0.3420436124031386,0.4280384476343777,0.5360963201441427
H1N1pdm,General,inf,0.261,0.32809454786595527,0.4087883532008002,0.5102323320927195
H1N1pdm,General,inf,0.348,0.31419255266492685,0.38977852544000524,0.4849065666716328
H1N1pdm,General,inf,0.43499999999999994,0.3009845336513605,0.37119779297168803,0.4590615820681752
H1N1pdm,General,inf,0.522,0.2881330590012192,0.352963805018692,0.434116854768972
H1N1pdm,General,inf,0.609,0.2752642501259728,0.33507015771212767,0.40954786430874085
H1N1pdm,General,inf,0.696,0.26280261086960016,0.31763481459148846,0.3850817712617209
H1N1pdm,General,inf,0.7829999999999999,0.250697238883561,0.30058331107618536,0.3615770966691894
H1N1pdm,General,inf,0.8699999999999999,0.23880698387141092,0.28430513455741413,0.33927245345259704
H1N1pdm,General,inf,0.957,0.22723099737613298,0.26844281786971524,0.31767560012409307
H1N1pdm,General,inf,1.044,0.21599731894076774,0.25308173828408065,0.29642313417297317
H1N1pdm,General,inf,1.131,0.2050113260526843,0.2384086540185058,0.276387624884081
H1N1pdm,General,inf,1.218,0.19460362926051472,0.22429421558365598,0.25731164992469485
H1N1pdm,General,inf,1.305,0.18439864608700984,0.21082545951625348,0.23931858183913554
H1N1pdm,General,inf,1.392,0.1741355363822376,0.19784975393286497,0.22258442933225986
H1N1pdm,General,inf,1.4789999999999999,0.16424337103394157,0.1854391090677694,0.20726671889542725
H1N1pdm,General,inf,1.5659999999999998,0.15459469365686732,0.17362528981499015,0.19314998649818743
H1N1pdm,General,inf,1.6529999999999998,0.14527195494331666,0.1623728175961507,0.18022754532005775
H1N1pdm,General,inf,1.7399999999999998,0.13605271479242156,0.15179000004623017,0.16862788838143966
H1N1pdm,General,inf,1.827,0.12659987932545028,0.14179974563594977,0.15772076517463943
H1N1pdm,General,inf,1.914,0.11756185693238627,0.13242043592987363,0.14762447998797326
H1N1pdm,General,inf,2.001,0.10869482693745697,0.12351865182338334,0.13848267021436947
H1N1pdm,General,inf,2.088,0.09998335240486497,0.11520810802646259,0.1300678531612161
H1N1pdm,General,inf,2.175,0.09164703552711248,0.1073213658916563,0.1222846469302186
H1N1pdm,General,inf,2.262,0.0839890411665257,0.09997825134940924,0.11490734121656182
H1N1pdm,General,inf,2.3489999999999998,0.0769131296877968,0.09306378148538125,0.10819876588709192
H1N1pdm,General,inf,2.436,0.07023293703620698,0.08663304327107368,0.10178877771945088
H1N1pdm,General,inf,2.5229999999999997,0.06403945379495958,0.08059212426226237,0.0958897701810529
H1N1pdm,General,inf,2.61,0.05830369182732222,0.07492400590784781,0.09047309619936002
H1N1pdm,General,inf,2.6969999999999996,0.05300394741527751,0.06960236499614275,0.08520557742699046
H1N1pdm,General,inf,2.784,0.0481685307782656,0.06466753838359635,0.08015957689676224
H1N1pdm,General,inf,2.871,0.04380030101600089,0.06004532006210611,0.07562490171351366
H1N1pdm,General,inf,2.9579999999999997,0.039706405725006944,0.055759557214321076,0.0712127028239282
H1N1pdm,General,inf,3.045,0.035913645542473664,0.051741336906609536,0.06709936972198684
H1N1pdm,General,inf,3.1319999999999997,0.03256891909587293,0.04798770958296805,0.06323142789407278
H1N1pdm,General,inf,3.219,0.029556371660481383,0.04447104359210641,0.059570614053093836
H1N1pdm,General,inf,3.3059999999999996,0.026762694960131745,0.04122241342650457,0.05613046011761918
H1N1pdm,General,inf,3.393,0.024308109524411727,0.038173777416276145,0.05288437332257482
H1N1pdm,General,inf,3.4799999999999995,0.02201446487378179,0.03537257551114825,0.049705729471853574
H1N1pdm,General,inf,3.5669999999999997,0.01990538520434695,0.03277562379715043,0.04682198885814048
H1N1pdm,General,inf,3.654,0.01799335055126308,0.030359629168081603,0.04411389128366058
H1N1pdm,General,inf,3.7409999999999997,0.0162708118439171,0.028109719430547297,0.04154484396880283
H1N1pdm,General,inf,3.828,0.014704801276729376,0.02601615537479335,0.039192332546918895
H1N1pdm,General,inf,3.9149999999999996,0.013276940722544942,0.02410027618376498,0.03690742859621008
H1N1pdm,General,inf,4.002,0.011985559950056405,0.022304553650027814,0.034775641156787364
H1N1pdm,General,inf,4.0889999999999995,0.010811219124811847,0.020639715550654136,0.03269042852982879
H1N1pdm,General,inf,4.176,0.009764357698345816,0.019093839302652016,0.03074403562392411
H1N1pdm,General,inf,4.263,0.008815062206400465,0.017668313499516863,0.028895926048649125
H1N1pdm,General,inf,4.35,0.007958618669870193,0.016342854311828303,0.027208146605613437
H1N1pdm,General,inf,4.436999999999999,0.007193498823610026,0.015120567502620863,0.025627870879281183
H1N1pdm,General,inf,4.524,0.0064789330110024915,0.013986084068123794,0.024119505731467827
H1N1pdm,General,inf,4.611,0.005840406912236145,0.012938503501273957,0.022701766594146997
H1N1pdm,General,inf,4.6979999999999995,0.005273056809122001,0.011960226547039599,0.021360682224708872
H1N1pdm,General,inf,4.784999999999999,0.004760581657676513,0.011061891094708898,0.020098155046282564
H1N1pdm,General,inf,4.872,0.004294733622044028,0.01023097203030121,0.01890602114763558
H1N1pdm,General,inf,4.959,0.0038699435552164876,0.009459103053893858,0.017774945809472423
H1N1pdm,General,inf,5.045999999999999,0.0034927856486952295,0.008744513922466779,0.0167238702185375
H1N1pdm,General,inf,5.133,0.0031523098197759223,0.008082949691517793,0.01575624835933849
