virus,population,term,estimate,std.error,statistic,p.value,ind
H1N1pdm,exposed,(Intercept),1.080128692087768,0.22818617046762676,4.7335414318678355,2.2063589995614746e-6,1
H1N1pdm,exposed,logHImid,-0.709746723998727,0.1160393883485548,-6.116429378848638,9.569526576596016e-10,1
H1N1pdm,exposed,(Intercept),1.551540558348521,0.2822695098323819,5.496663664700665,3.8704388086722434e-8,2
H1N1pdm,exposed,logHImid,-1.006119371104048,0.1534108911140481,-6.5583307925386,5.441340162888204e-11,2
H1N1pdm,exposed,(Intercept),1.163646577454508,0.24008542884532666,4.846802169756745,1.2546742827168502e-6,3
H1N1pdm,exposed,logHImid,-0.7675932818819595,0.12433587980712839,-6.173546067898191,6.677508134061702e-10,3
H1N1pdm,exposed,(Intercept),0.909008381105312,0.22041521257593827,4.124072791900137,3.72231171704779e-5,4
H1N1pdm,exposed,logHImid,-0.6376414326023251,0.10963765077010684,-5.8158983535625035,6.030910720874426e-9,4
H1N1pdm,exposed,(Intercept),0.8189162465509807,0.22641060587500922,3.61695179157405,2.980927958979846e-4,5
H1N1pdm,exposed,logHImid,-0.6579684844025603,0.11416714641559231,-5.763203382586242,8.253223904587749e-9,5
H1N1pdm,exposed,(Intercept),0.858021235222002,0.21725331417551874,3.9494045855098325,7.834583244192656e-5,6
H1N1pdm,exposed,logHImid,-0.6469794761060648,0.10686692177474144,-6.054066734230402,1.4123405571103592e-9,6
H1N1pdm,exposed,(Intercept),1.1980593439506622,0.2409207125028431,4.972836629546842,6.598026179469945e-7,7
H1N1pdm,exposed,logHImid,-0.7684665855298055,0.12389126852898737,-6.202750158700685,5.548488785408482e-10,7
H1N1pdm,exposed,(Intercept),1.5109366302401714,0.2618672768998545,5.769856578216134,7.933902782897441e-9,8
H1N1pdm,exposed,logHImid,-0.9210436088830963,0.1394271862695669,-6.605911182216367,3.950797127729466e-11,8
H1N1pdm,exposed,(Intercept),1.3085029408358324,0.23448651851770955,5.580290709706656,2.4011691956150188e-8,9
H1N1pdm,exposed,logHImid,-0.7939919579608323,0.12077022969268919,-6.574401323746895,4.8849312532839276e-11,9
H1N1pdm,exposed,(Intercept),1.1373939558776986,0.23130605242903501,4.917268458535699,8.776016286671993e-7,10
H1N1pdm,exposed,logHImid,-0.7520371717395906,0.1176883307364259,-6.390074249789885,1.6580522542791666e-10,10
H1N1pdm,exposed,(Intercept),1.0394278292234997,0.25279693931213443,4.111710497966486,3.9273857291232945e-5,11
H1N1pdm,exposed,logHImid,-0.7616034344890129,0.13334525039845233,-5.711515274921652,1.1197464452901393e-8,11
H1N1pdm,exposed,(Intercept),1.4104569626138503,0.25256920104527464,5.58443767797728,2.3445757295355904e-8,12
H1N1pdm,exposed,logHImid,-0.8900575703709511,0.13358670247443738,-6.662770724064163,2.687127013072036e-11,12
H1N1pdm,exposed,(Intercept),1.430188606043264,0.26067399108847966,5.486502892257556,4.0996871394221503e-8,13
H1N1pdm,exposed,logHImid,-0.9024501847726861,0.13947587838644382,-6.4702957616246755,9.781127679328912e-11,13
H1N1pdm,exposed,(Intercept),1.122349083389054,0.23232558877770404,4.830931837056273,1.3589552621332774e-6,14
H1N1pdm,exposed,logHImid,-0.7393719363160891,0.11754089529391926,-6.2903377966216585,3.167758920142018e-10,14
H1N1pdm,exposed,(Intercept),0.8723909912053349,0.2378319597222338,3.668098232988571,2.443613044576899e-4,15
H1N1pdm,exposed,logHImid,-0.6818661788558811,0.12296262940517777,-5.545312280278619,2.934299949458103e-8,15
H1N1pdm,exposed,(Intercept),1.4255758176361204,0.25534418890474136,5.582957747152591,2.3646220860893314e-8,16
H1N1pdm,exposed,logHImid,-0.9241286716212387,0.1344269604120017,-6.874578349379475,6.2173480040420944e-12,16
H1N1pdm,exposed,(Intercept),0.9141107882369156,0.21666261326486524,4.219051798841895,2.453319095027624e-5,17
H1N1pdm,exposed,logHImid,-0.6015609109798715,0.10576834434597863,-5.6875326422063175,1.2888797258387176e-8,17
H1N1pdm,exposed,(Intercept),1.1548727431696408,0.25408229399891696,4.545270451527659,5.4864761004354165e-6,18
H1N1pdm,exposed,logHImid,-0.8167389601750258,0.13271162128650218,-6.154238432607368,7.543911778956215e-10,18
H1N1pdm,exposed,(Intercept),1.0583071127280392,0.2406383505482264,4.397915420866981,1.0929555213114223e-5,19
H1N1pdm,exposed,logHImid,-0.7744339314574837,0.12357823785636919,-6.266750075831168,3.686611273824165e-10,19
H1N1pdm,exposed,(Intercept),1.3040625533297734,0.24892103352600747,5.238860432393006,1.6157116706658416e-7,20
H1N1pdm,exposed,logHImid,-0.8641677322980508,0.12889754872072753,-6.704299196335975,2.0237523244872035e-11,20
H1N1pdm,exposed,(Intercept),0.9988452396222925,0.22605433589819637,4.418606861281894,9.933915993524706e-6,21
H1N1pdm,exposed,logHImid,-0.7140514478374145,0.11413294787486555,-6.25631302032341,3.941851923442935e-10,21
H1N1pdm,exposed,(Intercept),1.3212571791630514,0.26206310502494534,5.041751981978856,4.612889136062609e-7,22
H1N1pdm,exposed,logHImid,-0.9035725163472346,0.13889919716396637,-6.505239301567698,7.756979763441934e-11,22
H1N1pdm,exposed,(Intercept),1.1543895921463674,0.24459524566726062,4.719591294577987,2.3631896863556473e-6,23
H1N1pdm,exposed,logHImid,-0.8165753376339572,0.12485392505524893,-6.540245629223235,6.141787636656585e-11,23
H1N1pdm,exposed,(Intercept),1.669038607433953,0.27027715144389836,6.175285622619109,6.604396470090267e-10,24
