term,true_val,nsam,beta_0,beta_logTitre,risk_prop_expected,long_prop_expected,max_follow,kappa,model_name,data_name,par_varied,est_mean,est_sd,se_mean,coverage,nsim
beta_logTitre,-1.5,10000,-3,-1.5,0.6,0,100,10,std,std_10,risk_prop_expected,-1.4553545589804457,0.019001487709104734,0.017994983374143764,0.3139,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.6,0,100,100,std,std_100,risk_prop_expected,-1.496450573027488,0.018659744071340117,0.01852186360442515,0.9403,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.6,0,100,1000,std,std_1000,risk_prop_expected,-1.499731563192483,0.01860964506108563,0.018562944561812636,0.951,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.7000000000000001,0,100,0.5,std,std_05,risk_prop_expected,-0.9222460084649302,0.036197173354551984,0.011141663130981135,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.7000000000000001,0,100,1,std,std_1,risk_prop_expected,-1.1061954057356986,0.039731663527244505,0.01289848868330637,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.7000000000000001,0,100,10,std,std_10,risk_prop_expected,-1.470090304340983,0.01829928159137351,0.017850139003336606,0.6042,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.7000000000000001,0,100,100,std,std_100,risk_prop_expected,-1.497520877802082,0.018153202118726175,0.018192918533029796,0.9463,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.7000000000000001,0,100,1000,std,std_1000,risk_prop_expected,-1.4998925515734496,0.018286515521484026,0.018220723404095796,0.9512,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.8,0,100,0.5,std,std_05,risk_prop_expected,-1.0120889390329504,0.04462678642484342,0.011399007414075275,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.8,0,100,1,std,std_1,risk_prop_expected,-1.201528645826008,0.04335307171900648,0.013579195251605697,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.8,0,100,10,std,std_10,risk_prop_expected,-1.4822009980318098,0.01788393349105267,0.017723867890373106,0.8175,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.8,0,100,100,std,std_100,risk_prop_expected,-1.4984303199150526,0.01784303953012626,0.01792397375705783,0.9505,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.8,0,100,1000,std,std_1000,risk_prop_expected,-1.4999966799752138,0.01792205925827199,0.017939711553561513,0.9512,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.9,0,100,0.5,std,std_05,risk_prop_expected,-1.1481125793999358,0.05938218147624516,0.01228305495609032,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.9,0,100,1,std,std_1,risk_prop_expected,-1.3220565211195279,0.0446495485524059,0.014804518222553102,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.9,0,100,10,std,std_10,risk_prop_expected,-1.4922925316174727,0.018151753549868324,0.017608279538208458,0.9189,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.9,0,100,100,std,std_100,risk_prop_expected,-1.4997203015302445,0.017754388862213505,0.017701703009211704,0.9492,10000
beta_logTitre,-1.5,10000,-3,-1.5,0.9,0,100,1000,std,std_1000,risk_prop_expected,-1.5003644770132472,0.017801450909198713,0.01770661124792494,0.9467,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0,100,0.5,std,std_05,long_prop_expected,-1.5001295656700437,0.017291320261807065,0.01750001678003358,0.9523,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0,100,0.5,std,std_05,risk_prop_expected,-1.500268380084028,0.017715289187062465,0.017501885448012074,0.947,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0,100,1,std,std_1,long_prop_expected,-1.5005362958409891,0.017481782876646073,0.01750650549538849,0.9494,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0,100,1,std,std_1,risk_prop_expected,-1.5004951803368645,0.017460792926853378,0.017504724591060106,0.9499,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0,100,10,std,std_10,long_prop_expected,-1.5002260299937173,0.017530363568331365,0.01750139671447893,0.9468,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0,100,10,std,std_10,risk_prop_expected,-1.5000730730272744,0.017237209954908253,0.017499551393186586,0.9537,10000
