virus,population,prob_type,loghi,prob_lb,prob_med,prob_ub
H1N1pdm,General,inf,0,0.0014793902215932354,0.05563936702050276,0.45221142355047284
H1N1pdm,General,inf,0.087,0.001796404563642817,0.06183146839606213,0.4727084666385794
H1N1pdm,General,inf,0.174,0.00218719334779611,0.0687072198375765,0.4938132987453313
H1N1pdm,General,inf,0.261,0.002664988770911594,0.07634182521385946,0.5130196194956032
H1N1pdm,General,inf,0.348,0.00326974770407269,0.08512269124805044,0.5309289132527929
H1N1pdm,General,inf,0.43499999999999994,0.003964320647868769,0.09415406137584714,0.550755200335221
H1N1pdm,General,inf,0.522,0.004840602709350858,0.10408776076280996,0.5712862790487321
H1N1pdm,General,inf,0.609,0.005917318151241457,0.11506498565115902,0.5914915232864053
H1N1pdm,General,inf,0.696,0.0072160458167484145,0.12720986109380483,0.6101290640984074
H1N1pdm,General,inf,0.7829999999999999,0.00875665024898357,0.14046634625698845,0.6299977141247861
H1N1pdm,General,inf,0.8699999999999999,0.010631079443166241,0.15454846819628804,0.6473064797266421
H1N1pdm,General,inf,0.957,0.012918145985082691,0.16969767310235467,0.6660467635893587
H1N1pdm,General,inf,1.044,0.015631410399939465,0.18624273285766785,0.6828223777473871
H1N1pdm,General,inf,1.131,0.018893031063502805,0.20398854246967107,0.6997158849343619
H1N1pdm,General,inf,1.218,0.0229840533750544,0.22293696680099684,0.7169281791101886
H1N1pdm,General,inf,1.305,0.02755469326930987,0.24329918489587277,0.7343679009424553
H1N1pdm,General,inf,1.392,0.033114749995093944,0.26437366643254406,0.7490177006630439
H1N1pdm,General,inf,1.4789999999999999,0.03956958322965361,0.2870868394150309,0.7640353872228642
H1N1pdm,General,inf,1.5659999999999998,0.047901920764232137,0.31048409572157504,0.7779455005330231
H1N1pdm,General,inf,1.6529999999999998,0.05823844448392031,0.3355823613205559,0.792648796121012
H1N1pdm,General,inf,1.7399999999999998,0.07009851065002339,0.36047911186602183,0.8061975202954323
H1N1pdm,General,inf,1.827,0.0831101667171584,0.3883970654916352,0.8200091151444826
H1N1pdm,General,inf,1.914,0.0982504274493875,0.41507816365599426,0.8315940637082766
H1N1pdm,General,inf,2.001,0.11658069623794845,0.44327113960777487,0.8432468842469422
H1N1pdm,General,inf,2.088,0.136858750494443,0.4716015740866393,0.8541561689153743
H1N1pdm,General,inf,2.175,0.1604377800581706,0.4997018466403257,0.8644747888354967
H1N1pdm,General,inf,2.262,0.18750383365275247,0.5280881492612073,0.8738930786707764
H1N1pdm,General,inf,2.3489999999999998,0.21908245945622595,0.5567142274968451,0.8828665635932573
H1N1pdm,General,inf,2.436,0.25077151681655313,0.5843195346908936,0.8915618115208561
H1N1pdm,General,inf,2.5229999999999997,0.2842083884671064,0.6122068392706005,0.8991273982410769
H1N1pdm,General,inf,2.61,0.32267231536679275,0.6398736591735432,0.9065970841652349
H1N1pdm,General,inf,2.6969999999999996,0.36463829496330646,0.6663218850852246,0.9134576127820888
H1N1pdm,General,inf,2.784,0.4074730878350198,0.6916195796921523,0.9197834015767212
H1N1pdm,General,inf,2.871,0.44975980756688183,0.7158700631063069,0.9254639249546452
H1N1pdm,General,inf,2.9579999999999997,0.4921489712789145,0.7396883928991632,0.9311480832667609
H1N1pdm,General,inf,3.045,0.5344951776757377,0.7615534610900648,0.936435812059833
H1N1pdm,General,inf,3.1319999999999997,0.5735868998912295,0.7830160428697401,0.9410719096134261
H1N1pdm,General,inf,3.219,0.6108130323957884,0.8024245360963435,0.945846464036494
H1N1pdm,General,inf,3.3059999999999996,0.6468707858857471,0.8214005990333499,0.9501108715784257
H1N1pdm,General,inf,3.393,0.6814580276990667,0.838740525702142,0.9542124622378023
H1N1pdm,General,inf,3.4799999999999995,0.7125573314257924,0.8551293353671467,0.9581005984882041
H1N1pdm,General,inf,3.5669999999999997,0.7422030814019633,0.8698136876450222,0.9617209033811801
H1N1pdm,General,inf,3.654,0.768061622657797,0.8831622064087661,0.9650877902451115
H1N1pdm,General,inf,3.7409999999999997,0.7910916686785745,0.8950565538270789,0.9678984245496292
H1N1pdm,General,inf,3.828,0.8111174363195117,0.9059828676580362,0.9706896115193071
H1N1pdm,General,inf,3.9149999999999996,0.8305815599320725,0.9159868583990567,0.9732279933218676
H1N1pdm,General,inf,4.002,0.8481700768237683,0.9249418711542365,0.9757158921907557
H1N1pdm,General,inf,4.0889999999999995,0.8625645996869132,0.9331848257230635,0.9781281656959435
H1N1pdm,General,inf,4.176,0.8758555934184047,0.9403557675965115,0.9804278701189835
H1N1pdm,General,inf,4.263,0.8878859599693631,0.9467168421513985,0.9824605389449906
H1N1pdm,General,inf,4.35,0.8985604282429978,0.9525822574814904,0.9846238485157061
H1N1pdm,General,inf,4.436999999999999,0.9081755291832099,0.9576047429553936,0.9865479429486279
H1N1pdm,General,inf,4.524,0.9168816934560787,0.9621968061980812,0.9882531800256901
H1N1pdm,General,inf,4.611,0.9250594997725323,0.9663083998569677,0.9897245039917819
H1N1pdm,General,inf,4.6979999999999995,0.9321232071220775,0.9699491876218302,0.9912357482955348
H1N1pdm,General,inf,4.784999999999999,0.9382967616631863,0.9732550397496577,0.9923970452500417
H1N1pdm,General,inf,4.872,0.9440105770835251,0.9761548772939391,0.9934960737951168
H1N1pdm,General,inf,4.959,0.9491428853101211,0.9787510074958544,0.9945077992449691
H1N1pdm,General,inf,5.045999999999999,0.9538247269472069,0.9810963569498516,0.9953441306424036
H1N1pdm,General,inf,5.133,0.9578734779266157,0.983114907157282,0.9961090367065566
