prot_point,prot_l,prot_u,loghimid,virus
0.13296104052480207,2.7888549335330914e-5,0.9988154546162852,0,bvic
0.1406853764539755,3.2961696220579206e-5,0.998771722216065,0.087,bvic
0.14878145252631747,3.895527146990929e-5,0.9987264550591511,0.174,bvic
0.15725817351553473,4.6035718470394116e-5,0.9986796053870846,0.261,bvic
0.1661235964121638,5.439945089535936e-5,0.9986311244709709,0.348,bvic
0.1753847952390114,6.427821875298889e-5,0.9985809626430766,0.43499999999999994,bvic
0.185047721459358,7.594542771360846e-5,0.998529069335413,0.522,bvic
0.19511706153208508,8.972357914804885e-5,0.9984753931260926,0.609,bvic
0.20559609345100494,1.0599302720926129e-4,0.9984198817943184,0.696,bvic
0.2164865443853934,1.2520228301005076e-4,0.9983624823849538,0.7829999999999999,bvic
0.2277884518049622,1.4788013529853927e-4,0.9983031412837187,0.8699999999999999,bvic
0.23950003071376103,1.746499028337789e-4,0.9982418043041573,0.957,bvic
0.2516175498211979,2.062461869497545e-4,0.9981784167876456,1.044,bvic
0.26413521963120323,2.4353455464065643e-4,0.9981129237178265,1.131,bvic
0.277045095519203,2.8753465417552526e-4,0.9980452698510046,1.218,bvic
0.2903369988781287,3.3944734810564814e-4,0.9979753998641888,1.305,bvic
0.30399845933778347,4.006865440793206e-4,0.997903258522632,1.392,bvic
0.31801468088720863,4.7291651372138865e-4,0.9978287908689154,1.4789999999999999,bvic
0.3323685344511309,5.580956156591155e-4,0.99775194243582,1.5659999999999998,bvic
0.3470405790868458,6.585274823053267e-4,0.9976726594854607,1.6529999999999998,bvic
0.362009113479383,7.769208928734006e-4,0.9975908892774029,1.7399999999999998,bvic
0.3772502588279619,9.164597388127138e-4,0.9975065803687571,1.827,bvic
0.3927380735484328,0.0010808846934573513,0.9974196829495449,1.914,bvic
0.408444699482704,0.0012745884257251427,0.9973301492169627,2.001,bvic
0.4243405385300254,0.0015027264475601099,0.997237933792526,2.088,bvic
0.4403944578233794,0.001771345954483916,0.9971429941864762,2.175,bvic
0.4565740207968729,0.00208753530375394,0.9970452913142642,2.262,bvic
0.4728457407580895,0.0024595970677178114,0.996944790070398,2.3489999999999998,bvic
0.48917535292358494,0.0028972478890227915,0.9968414599654537,2.436,bvic
0.5055281003248213,0.00341184863119659,0.9967352758326133,2.5229999999999997,bvic
0.5218690285705836,0.004016668536229728,0.996626218610696,2.61,bvic
0.5381632841797445,0.004727187232459018,0.9965142762113033,2.6969999999999996,bvic
0.554376411087816,0.005561438428865917,0.9963994444784031,2.784,bvic
0.5704746399872566,0.0065403989144848795,0.996281728249423,2.871,bvic
0.5864251653823314,0.007688425958496392,0.9961611425277197,2.9579999999999997,bvic
0.6021964056140943,0.009033745252416181,0.9960377137771226,3.045,bvic
0.6177582416224463,0.010608989989276507,0.9959114813501077,3.1319999999999997,bvic
0.6330822308370045,0.012451789332703966,0.9957824990620382,3.219,bvic
0.6481417932990857,0.014605401142332664,0.9956508369247786,3.3059999999999996,bvic
0.6629123678831829,0.01711937909567074,0.9955165830538264,3.393,bvic
0.6773715372766596,0.020050257945245842,0.9953798457638716,3.4799999999999995,bvic
0.6914991211606629,0.023462232217242418,0.9952407558683318,3.5669999999999997,bvic
0.70527723778541,0.027427792853439548,0.9950994691988486,3.654,bvic
0.7186903348247332,0.0320282728620509,0.9949561693608739,3.7409999999999997,bvic
0.73172519100831,0.03735423689771866,0.9948110707411918,3.828,bvic
0.7443708905507929,0.04350563109208827,0.9946644217823488,3.9149999999999996,bvic
0.7566187728159013,0.050591589198183184,0.9945165085372902,4.002,bvic
0.7684623599664516,0.05872977078508779,0.9943676585147306,4.0889999999999995,bvic
0.77989726555913,0.06804508950214383,0.9942182448215822,4.176,bvic
0.7909210871505142,0.0786676783585688,0.9940686906026589,4.263,bvic
0.8015332859967808,0.09072994007673907,0.9939194737692945,4.35,bvic
0.8117350568645069,0.1043625508004109,0.9937711319967553,4.436999999999999,bvic
0.8215291908364852,0.11968933247729396,0.9936242679544883,4.524,bvic
0.8309199338077751,0.13682099026537886,0.9934795547122669,4.611,bvic
0.8399128431367027,0.15584783081959386,0.9933377412378663,4.6979999999999995,bvic
0.8485146446560652,0.1768317341298674,0.9931996578665168,4.784999999999999,bvic
0.8567330919732588,0.1997978355631952,0.9930662215773032,4.872,bvic
0.8645768297050238,0.22472656411753877,0.9929384408550276,4.959,bvic
0.8720552620120148,0.2515468436309555,0.9928174198458772,5.045999999999999,bvic
0.8791784275278793,0.2801313528733703,0.9927043614297922,5.133,bvic
0.8859568815227933,0.3102947143747832,0.992600568730461,5.22,bvic
0.8924015859066996,0.3417953086015705,0.9925074444652464,5.3069999999999995,bvic
0.8985238074656998,0.3743410836641883,0.9924264874038968,5.393999999999999,bvic
0.9043350245377658,0.40759928151981617,0.9923592850615719,5.481,bvic
0.9098468421717338,0.44120949764012884,0.9923075016083058,5.568,bvic
0.9150709156760951,0.47479902634753546,0.9922728598500692,5.654999999999999,bvic
0.9200188823504405,0.5079991153183521,0.9922571160517288,5.742,bvic
0.9247023011010416,0.5404606320938532,0.9922620263662696,5.829,bvic
0.9291325995711375,0.5718677579740203,0.9922893037569034,5.9159999999999995,bvic
0.9333210283639737,0.6019486412206687,0.9923405646098217,6.002999999999999,bvic
0.9372786219003748,0.6304823885742294,0.992417264802372,6.09,bvic
0.9410161654304453,0.6573022569660718,0.9925206258762164,6.177,bvic
0.9445441677087881,0.6822953368485511,0.99265155320444,6.263999999999999,bvic
0.9478728388424152,0.705399332168638,0.992810549618871,6.351,bvic
