prot_point,prot_l,prot_u,loghimid,population,virus
0.17465346305340734,2.3472005893621084e-4,0.9947844584340255,0,Exposed,H1N1pdm
0.18573855045840104,2.7748021897722186e-4,0.9946940188335535,0.087,Exposed,H1N1pdm
0.1973589606881876,3.2801440156293715e-4,0.9946022365785289,0.174,Exposed,H1N1pdm
0.20951931305864657,3.8773186837171014e-4,0.9945091056371346,0.261,Exposed,H1N1pdm
0.22222148681438858,4.582962202824836e-4,0.994414621071543,0.348,Exposed,H1N1pdm
0.2354643483340978,5.416709660064356e-4,0.9943187791477793,0.43499999999999994,Exposed,H1N1pdm
0.24924349460989892,6.401731493334006e-4,0.9942215774553523,0.522,Exposed,H1N1pdm
0.2635510205833511,7.565364245050166e-4,0.9941230150376034,0.609,Exposed,H1N1pdm
0.2783753182817237,8.939851961448086e-4,0.9940230925338205,0.696,Exposed,H1N1pdm
0.2937009158121022,0.001056321699431928,0.9939218123342856,0.7829999999999999,Exposed,H1N1pdm
0.30950836409056626,0.00124802819050851,0.9938191787495486,0.8699999999999999,Exposed,H1N1pdm
0.3257741786711066,0.0014743867485669249,0.9937151981953702,0.957,Exposed,H1N1pdm
0.34247084316957876,0.001741619560647667,0.9936098793949397,1.044,Exposed,H1N1pdm
0.35956687954500866,0.0020570529669891036,0.993503233600157,1.131,Exposed,H1N1pdm
0.3770269889184117,0.0024293089850184746,0.9933952748339789,1.218,Exposed,H1N1pdm
0.39481226471593,0.002868528495619471,0.9932860201560652,1.305,Exposed,H1N1pdm
0.4128804777805679,0.003386630751648023,0.9931754899542232,1.392,Exposed,H1N1pdm
0.4311864307898209,0.003997614332224897,0.9930637082644574,1.4789999999999999,Exposed,H1N1pdm
0.4496823769486743,0.004717905080802831,0.9929507031227635,1.5659999999999998,Exposed,H1N1pdm
0.46831849561561456,0.0055667568765038755,0.9928365069522022,1.6529999999999998,Exposed,H1N1pdm
0.487043415385797,0.006566711219059385,0.9927211569892223,1.7399999999999998,Exposed,H1N1pdm
0.5058047733195146,0.007744121448367558,0.9926046957537042,1.827,Exposed,H1N1pdm
0.5245497975723443,0.009129746819093176,0.9924871715677621,1.914,Exposed,H1N1pdm
0.5432258997415345,0.01075942040445399,0.992368639128992,2.001,Exposed,H1N1pdm
0.5617812628488064,0.01267479264041127,0.9922491601445883,2.088,Exposed,H1N1pdm
0.58016541105711,0.01492414889076854,0.9921288040335916,2.175,Exposed,H1N1pdm
0.5983297479570182,0.017563294271973007,0.9920076487054876,2.262,Exposed,H1N1pdm
0.6162280515121309,0.02065649158213012,0.9918857814244724,2.3489999999999998,Exposed,H1N1pdm
0.6338169154463514,0.024277427898030557,0.9917632997699407,2.436,Exposed,H1N1pdm
0.6510561288895567,0.02851017153951918,0.9916403127051795,2.5229999999999997,Exposed,H1N1pdm
0.6679089883564764,0.033450062958059856,0.9915169417678664,2.61,Exposed,H1N1pdm
0.6843425384943341,0.03920446012013856,0.9913933223978174,2.6969999999999996,Exposed,H1N1pdm
0.7003277403780691,0.04589323089888031,0.9912696054195245,2.784,Exposed,H1N1pdm
0.7158395683483099,0.05364885229236516,0.9911459586994046,2.871,Exposed,H1N1pdm
0.7308570383842323,0.06261594050523445,0.9910225690003702,2.9579999999999997,Exposed,H1N1pdm
0.7453631727100387,0.07295000031895182,0.9908996440593609,3.045,Exposed,H1N1pdm
0.7593449067028468,0.08481515237427695,0.9907774149168725,3.1319999999999997,Exposed,H1N1pdm
0.7727929451780791,0.09838058163840047,0.990656138531292,3.219,Exposed,H1N1pdm
0.7857015757750216,0.11381546137435361,0.9905361007149945,3.3059999999999996,Exposed,H1N1pdm
0.798068447468376,0.13128215917515507,0.9904176194336657,3.393,Exposed,H1N1pdm
0.8098943222247308,0.15092764096551148,0.9903010485150899,3.4799999999999995,Exposed,H1N1pdm
0.8211828075501378,0.17287316863153201,0.9901867818185834,3.5669999999999997,Exposed,H1N1pdm
0.8319400771867762,0.1972026419944125,0.9900752579211026,3.654,Exposed,H1N1pdm
0.8421745865657739,0.22395025503920585,0.9899669653804631,3.7409999999999997,Exposed,H1N1pdm
0.8518967888610731,0.2530884849084801,0.9898624486394678,3.828,Exposed,H1N1pdm
0.8611188566634245,0.28451774778758643,0.9897623146361858,3.9149999999999996,Exposed,H1N1pdm
0.869854413446045,0.3180592523462028,0.9896672401837978,4.002,Exposed,H1N1pdm
0.8781182781591603,0.3534525649108464,0.9895779801763667,4.0889999999999995,Exposed,H1N1pdm
0.8859262254973085,0.3903590973480464,0.9894953766617313,4.176,Exposed,H1N1pdm
0.8932947636513638,0.42837211958068655,0.989420368795331,4.263,Exposed,H1N1pdm
0.9002409307005697,0.46703304635223686,0.9893540036432777,4.35,Exposed,H1N1pdm
0.9067821102262916,0.5058528009202082,0.9892974477311859,4.436999999999999,Exposed,H1N1pdm
0.9129358662416354,0.5443362222881888,0.9892519991257959,4.524,Exposed,H1N1pdm
0.9187197971283918,0.5820069610735288,0.9892190996739638,4.611,Exposed,H1N1pdm
0.9241514079508593,0.6184302363942609,0.9892003467879787,4.6979999999999995,Exposed,H1N1pdm
0.9292480002686743,0.6532312192894594,0.9891975038319428,4.784999999999999,Exposed,H1N1pdm
0.9340265783902191,0.6861075613672266,0.9892125077008178,4.872,Exposed,H1N1pdm
0.9385037708861425,0.7168355109031472,0.9892474715592476,4.959,Exposed,H1N1pdm
0.9426957661104705,0.7452699438352248,0.9893046798937796,5.045999999999999,Exposed,H1N1pdm
0.9466182604463926,0.7713393187717653,0.9893865720211596,5.133,Exposed,H1N1pdm
