fit,se,fit_high,fit_low,loghimid,population,virus
0.7727829504980303,0.24570723542284165,0.8462737970123417,0.6775456080344111,0,Exposed,H1N1pdm
0.7601004921264221,0.23522374744132313,0.8340020755213788,0.6664562509717311,0.087,Exposed,H1N1pdm
0.7469419515275391,0.22480045378049088,0.8209753183469035,0.6551529596594972,0.174,Exposed,H1N1pdm
0.7333148913281238,0.2144461319722543,0.8071836922073613,0.6436404140122258,0.261,Exposed,H1N1pdm
0.7192298544678197,0.20417127578133995,0.7926236060495142,0.6319232099668988,0.348,Exposed,H1N1pdm
0.704700476949308,0.1939885126209026,0.7772986808890247,0.6200056449740603,0.43499999999999994,Exposed,H1N1pdm
0.6897435656193676,0.18391313993821054,0.7612207394834094,0.6078914441818914,0.522,Exposed,H1N1pdm
0.6743791361397298,0.17396381777072253,0.7444108021990884,0.5955834113149491,0.609,Exposed,H1N1pdm
0.6586304068915976,0.16416346604275298,0.7269000773756449,0.5830829838764346,0.696,Exposed,H1N1pdm
0.6425237453595024,0.15454042872771734,0.708730938245059,0.5703896674839024,0.7829999999999999,Exposed,H1N1pdm
0.6260885645494388,0.14512998131983232,0.6899578833534652,0.5575003199358876,0.8699999999999999,Exposed,H1N1pdm
0.6093571681909362,0.1359762688222275,0.6706484810980531,0.5444082546637196,0.957,Exposed,H1N1pdm
0.5923645448180989,0.1271347581352405,0.6508842956614985,0.5311021414995962,1.044,Exposed,H1N1pdm
0.5751481122737242,0.11867524850519227,0.6307617691169759,0.5175647123825928,1.131,Exposed,H1N1pdm
0.5577474156760676,0.11068536184972158,0.61039296974922,0.5037713535709394,1.218,Exposed,H1N1pdm
0.540203783364817,0.10327415400868736,0.5899059716693006,0.48968882173337414,1.305,Exposed,H1N1pdm
0.5225599467325939,0.09657494127871871,0.5694443569647971,0.4752746069487781,1.392,Exposed,H1N1pdm
0.50485963108251,0.09074554820010441,0.5491649056154149,0.46047790365215613,1.4789999999999999,Exposed,H1N1pdm
0.4871471256677241,0.08596311180767363,0.5292320702460858,0.44524362998635014,1.5659999999999998,Exposed,H1N1pdm
0.4694668418118325,0.08241010559119154,0.5098077545185169,0.42952102389730973,1.6529999999999998,Exposed,H1N1pdm
0.4518628684391569,0.08024999223561144,0.4910360466067114,0.41327721878747936,1.7399999999999998,Exposed,H1N1pdm
0.4343785344379345,0.07959625520369454,0.47302548577911385,0.39651327896136046,1.827,Exposed,H1N1pdm
0.41705598703192837,0.08048560908298615,0.4558349573350843,0.37927665837710056,1.914,Exposed,H1N1pdm
0.39993579476064833,0.08286838682415913,0.4394699324656247,0.3616634218603606,2.001,Exposed,H1N1pdm
0.38305658279661403,0.08662143290542644,0.4238912006463972,0.34380813059962423,2.088,Exposed,H1N1pdm
0.36645470720660145,0.091576430268447,0.4090316184084959,0.32586590850809294,2.175,Exposed,H1N1pdm
0.35016397345114914,0.0975503939572045,0.39481347812576517,0.3079941153337751,2.262,Exposed,H1N1pdm
0.33421540297888763,0.104368496109082,0.38116130457538144,0.2903388363641829,2.3489999999999998,Exposed,H1N1pdm
0.31863705027854583,0.1118765097654944,0.3680088233848694,0.27302745021660557,2.436,Exposed,H1N1pdm
0.303453871269311,0.11994494875949407,0.35530136483119856,0.256166005618773,2.5229999999999997,Exposed,H1N1pdm
0.2886876425014223,0.12846826404563189,0.3429955761723241,0.23983951859311936,2.61,Exposed,H1N1pdm
0.27435692935638256,0.1373618063336761,0.33105791834956244,0.22411369096638378,2.6969999999999996,Exposed,H1N1pdm
0.26047710032161353,0.1465581920261508,0.31946282864752273,0.2090371397507964,2.784,Exposed,H1N1pdm
0.24706038349680637,0.1560038727053578,0.3081909781671144,0.19464367630203538,2.871,Exposed,H1N1pdm
0.23411596078482444,0.1656562096226292,0.29722778622334767,0.18095443965115776,2.9579999999999997,Exposed,H1N1pdm
0.22165009473281938,0.17548110471607783,0.28656222099502837,0.16797982178900717,3.045,Exposed,H1N1pdm
0.20966628271240728,0.18545113447101177,0.27618585997185097,0.15572118054935435,3.1319999999999997,Exposed,H1N1pdm
0.19816543304556233,0.19554410059924374,0.2660921664588102,0.14417235620122726,3.219,Exposed,H1N1pdm
0.1871460577728964,0.20574191143303927,0.25627593807649574,0.13332101206011615,3.3059999999999996,Exposed,H1N1pdm
0.17660447699617854,0.21602971971338963,0.2467328891080881,0.12314981773475175,3.393,Exposed,H1N1pdm
0.1665350300781162,0.22639525683446274,0.2374593358406777,0.11363749058822126,3.4799999999999995,Exposed,H1N1pdm
0.1569302894198169,0.2368283168736599,0.2284519607947253,0.10475970830873882,3.5669999999999997,Exposed,H1N1pdm
0.1477812730315624,0.2473203547378392,0.21970763733197762,0.0964899035875838,3.654,Exposed,H1N1pdm
0.13907765263939798,0.25786417141677925,0.2112233005391675,0.08879995072424884,3.7409999999999997,Exposed,H1N1pdm
0.1308079546058114,0.2684536659679754,0.20299585366256434,0.08166075331053169,3.828,Exposed,H1N1pdm
0.12295975146826521,0.2790836388633344,0.1950221019219578,0.07504274177334136,3.9149999999999996,Exposed,H1N1pdm
0.11551984239939928,0.2897496350802301,0.1872987074517729,0.06891628931477511,4.002,Exposed,H1N1pdm
0.108474421355931,0.3004478181239205,0.17982216055810973,0.06325205456705907,4.0889999999999995,Exposed,H1N1pdm
0.10180923210183157,0.31117486826556884,0.1725887635653518,0.058021259015815896,4.176,Exposed,H1N1pdm
0.09550970966063321,0.3219278998520249,0.1655946243466444,0.05319590690956155,4.263,Exposed,H1N1pdm
