fit,se,fit_high,fit_low,loghimid,virus
0.14521147411389979,0.364978350391349,0.25782221546816064,0.0767031939405608,0,bvic
0.1398798528633638,0.3541908374992609,0.24562438283198373,0.07512609017425043,0.087,bvic
0.1347131377921359,0.3435260247823675,0.23386491628476136,0.07356243810143936,0.174,bvic
0.12970848518416234,0.3329957015599962,0.2225479930755042,0.0720111799515053,0.261,bvic
0.12486292820980649,0.32261303760450033,0.21167572258190714,0.07047118522581064,0.348,bvic
0.12017339254900838,0.3123927560422646,0.2012483004071388,0.06894124503630095,0.43499999999999994,bvic
0.11563671133331666,0.30235132419632516,0.19126417140717022,0.06742006680283263,0.522,bvic
0.1112496393790724,0.2925071617570606,0.18172019781558624,0.0659062697373719,0.609,bvic
0.10700886669189569,0.2828808642085595,0.17261182874304626,0.06439838171873336,0.696,bvic
0.1029110312298761,0.27349543727803244,0.16393326742949454,0.06289483838782539,0.7829999999999999,bvic
0.09895273091943757,0.2643765350948023,0.15567763269636326,0.06139398557642084,0.8699999999999999,bvic
0.09513053492377377,0.25555269050799423,0.14783711106833086,0.05989408652257866,0.957,bvic
0.09144099416902662,0.2470555204065,0.1404030960083127,0.058393335711767635,1.044,bvic
0.08788065113803756,0.23891988180368912,0.13336631065641724,0.05688988158306718,1.131,bvic
0.08444604894554508,0.23118394602385656,0.12671691043899969,0.05538186069106321,1.218,bvic
0.08113373971219318,0.22388914912863567,0.1204445620207979,0.05386744610730987,1.305,bvic
0.07794029225764987,0.21707996802155163,0.11453849547338357,0.05234491271465036,1.392,bvic
0.07486229913557663,0.2108034657097499,0.10898752744790052,0.05081272137010362,1.4789999999999999,bvic
0.07189638303516888,0.20510854934535497,0.10378005482494523,0.049269622431128646,1.5659999999999998,bvic
0.06903920257552376,0.20004489519650465,0.09890402099274209,0.04771477663311785,1.6529999999999998,bvic
0.06628745752025811,0.19566151996270376,0.09434686064513587,0.04614788770582734,1.7399999999999998,bvic
0.06363789344059811,0.19200502054467458,0.09009543353994698,0.044569336678604854,1.827,bvic
0.06108730585564781,0.18911756305250102,0.08613596228292253,0.04298030328437308,1.914,bvic
0.05863254387876138,0.18703476846774472,0.08245399265382025,0.04138285648220852,2.001,bvic
0.05627051339889311,0.18578370164511057,0.0790343957229449,0.03977999542717536,2.088,bvic
0.05399817982555677,0.18538120238699077,0.0758614277117069,0.03817562553372056,2.175,bvic
0.051812570425579296,0.18583278456785765,0.07291885588189795,0.036574461955865334,2.262,bvic
0.04971077627924547,0.18713226515582915,0.07019014784576849,0.03498186369588785,2.3489999999999998,bvic
0.04768995388269581,0.18926217985844318,0.06765871014945102,0.03340361307877704,2.436,bvic
0.045747326422613366,0.19219492190871806,0.06530815295706693,0.031845664333392976,2.5229999999999997,bvic
0.04388018474830646,0.1958944371607759,0.06312255362648944,0.0303138890303587,2.61,bvic
0.04208588806530911,0.2003182473812271,0.061086693699945904,0.02881384436317902,2.6969999999999996,bvic
0.04036186437357969,0.20541956376534887,0.059186250235520044,0.02735058382225586,2.784,bvic
0.03870561067230727,0.21114928686007053,0.0574079311742004,0.02592852100743004,2.871,bvic
0.03711469295223302,0.21745774928890635,0.055739553107986284,0.024551348617893765,2.9579999999999997,bvic
0.03558674599529765,0.22429612419831904,0.054170066610049084,0.023222007827141677,3.045,bvic
0.034119473000312595,0.23161748024553125,0.05268953844488833,0.02194269905886992,3.1319999999999997,bvic
0.03271064505226273,0.23937750562761897,0.05128910160527045,0.02071492351740245,3.219,bvic
0.03135810045177101,0.24753494796901473,0.049960883838747305,0.01953954507836697,3.3059999999999996,bvic
0.03005974392019284,0.25605182669111215,0.04869792388588012,0.01841686355606409,3.393,bvic
0.028813545694792553,0.2648934741702751,0.047494082713759544,0.01734669227457797,3.4799999999999995,bvic
0.027617540527446915,0.27402845579328333,0.04634395505443478,0.016328434817820536,3.5669999999999997,bvic
0.026469826599375135,0.28342841024007304,0.045242784812706605,0.015361157555135119,3.654,bvic
0.0253685643634608,0.2930678421428888,0.04418638650239626,0.014443655922785292,3.7409999999999997,bvic
0.024311975324863067,0.302923890912674,0.043171073817183436,0.013574513475057448,3.828,bvic
0.023298340769764447,0.31297609252683894,0.04219359570167769,0.012752153441438763,3.9149999999999996,bvic
0.022326000451310057,0.32320614555013294,0.04125107980040732,0.011974882998462166,4.002,bvic
0.02139335124103925,0.33359768849572285,0.04034098286503818,0.011240930748027123,4.0889999999999995,bvic
0.020498845753389672,0.34413609261208766,0.0394610475391326,0.01054847804246628,4.176,bvic
0.019640990950187343,0.3548082720671148,0.03860926487152183,0.009895684853777786,4.263,bvic
0.018818346731403368,0.36560251207629657,0.03778384190108364,0.009280710882989207,4.35,bvic
0.018029524517862994,0.3765083146041475,0.03698317368377524,0.008701732569060705,4.436999999999999,bvic
0.01727318583103976,0.38751626071162926,0.03620581918085297,0.008156956601246157,4.524,bvic
0.01654804087455386,0.3986178883167455,0.035450480484536806,0.007644630475122427,4.611,bvic
0.01585284712150714,0.4098055839987905,0.03471598491704997,0.007163050567318696,4.6979999999999995,bvic
0.015186407911345068,0.421072487450069,0.034001269596864,0.006710568141392481,4.784999999999999,bvic
0.014547571059519981,0.4324124072208124,0.033305368119807,0.006285593639483222,4.872,bvic
0.013935227482843926,0.4438197464848959,0.03262739905135137,0.005886599562379136,4.959,bvic
0.013348309843075112,0.4552894376565826,0.031966555969542676,0.005512122194683666,5.045999999999999,bvic
0.01278579121094181,0.46681688479926214,0.03132209883575987,0.0051607623917487855,5.133,bvic
