loghi,prob_type,prob_lb,prob_med,prob_ub,prob_lb_prior,prob_med_prior,prob_ub_prior
0,inf,0.14575575745138916,0.17196958756250358,0.4165752858214132,0.002150971194516018,0.4563913362127415,0.9711823006087718
0,prot,3.813904909670096e-4,0.013478273729092882,0.4465518809803358,8.881784197001252e-16,3.0865419353709456e-7,0.9908554712193198
0.087,inf,0.145632397495425,0.17161259612693233,0.4085485580031459,0.001492765985022486,0.452607170573718,0.9707924378637246
0.087,prot,4.7017546128763085e-4,0.01531006753887909,0.4616226166022557,1.3322676295501878e-15,4.730390228968595e-7,0.9938459059681682
0.174,inf,0.14548668655500752,0.17121340546020913,0.4010153211889421,0.0010276013828308598,0.4479155924953916,0.9703798193497944
0.174,prot,5.790614527956317e-4,0.017391845773768178,0.4769307052738963,2.220446049250313e-15,7.549692474517755e-7,0.9962516342820595
0.261,inf,0.1453529030934629,0.170776794213506,0.39235441670450866,6.839339022973189e-4,0.44280636969942805,0.9698407364157164
0.261,prot,7.146563783266835e-4,0.019780023702174743,0.4926272989504521,2.886579864025407e-15,1.1488606383447397e-6,0.997849589940282
0.348,inf,0.14521099416232985,0.17032506464738445,0.38323680428668727,3.7837745594107304e-4,0.4373369614382157,0.969196222441998
0.348,prot,8.801900144780328e-4,0.022456107278063187,0.5075802663171831,3.9968028886505635e-15,1.7473747193075262e-6,0.9987299121450568
0.43499999999999994,inf,0.14500792345616811,0.169743162271982,0.3736199724779041,2.15352396357477e-4,0.43003683735442466,0.9687194626589892
0.43499999999999994,prot,0.0010856589352633145,0.02550557091999517,0.5235880560625976,5.10702591327572e-15,2.715567500644056e-6,0.9992827294023418
0.522,inf,0.14467678327972744,0.16907177004883966,0.36407808656283563,1.1910784121987259e-4,0.42364241551402726,0.968258713691094
0.522,prot,0.0013345959634671251,0.028920813145012825,0.5393053527195676,6.877831637552875e-15,4.166601659416624e-6,0.9995989430440332
0.609,inf,0.14441370722209723,0.1683614094503731,0.35467543418547176,6.337838061841485e-5,0.41677020167854373,0.9677632650254049
0.609,prot,0.0016383681325024212,0.03278806245522503,0.5549589736452373,8.881784197001252e-15,6.486847414555186e-6,0.9997864908694706
0.696,inf,0.14408265977164433,0.16755518128082902,0.344389879814654,3.185104676233211e-5,0.4083968521811601,0.9673766508540581
0.696,prot,0.0020072029828560657,0.03715603139869483,0.5699387449883896,1.0436096431476471e-14,9.80502134201311e-6,0.9998996253077057
0.7829999999999999,inf,0.14367833108169323,0.16667164271733884,0.3339595967299726,1.5080387226693293e-5,0.39937535094910337,0.9670117712015397
0.7829999999999999,prot,0.0024637116274720404,0.042042982903905735,0.5858236362063124,1.2656542480726785e-14,1.4648344622059106e-5,0.9999510892068975
0.8699999999999999,inf,0.14316180803216033,0.16566909309106959,0.3235395147164504,6.91263988054909e-6,0.3905380588494798,0.9662855109871006
0.8699999999999999,prot,0.0030149015648050395,0.04754030590990499,0.6015572062090414,1.3988810110276972e-14,2.2259323936346664e-5,0.9999768620236713
0.957,inf,0.14245347929970453,0.16460583795986733,0.31318474719916295,3.290740729619436e-6,0.3817076573613649,0.9655936490809844
0.957,prot,0.0037071645257866297,0.053678239330162525,0.6166748161955002,1.4876988529977098e-14,3.452036651352408e-5,0.9999893051293534
1.044,inf,0.14156176174717827,0.16346169577495645,0.3020559050918902,1.60300447576802e-6,0.37165102040377607,0.9647112085227004
1.044,prot,0.004534071388132818,0.06061250094636278,0.6322125669839207,1.532107773982716e-14,5.34589814028541e-5,0.9999948667154163
1.131,inf,0.1404957352319266,0.1621798045341049,0.2905157932231041,6.996747867134418e-7,0.3598906255368287,0.9640314159206064
1.131,prot,0.0055432241283166934,0.06846375921119219,0.6475387329490276,1.642574964932922e-14,8.130474221074158e-5,0.9999977740393473
1.218,inf,0.13900383080783205,0.16077537321666763,0.2793925502087995,2.922017437097503e-7,0.3489896043082614,0.9629795523563146
1.218,prot,0.006795407607728199,0.07711335170237821,0.6625615972296879,1.598166043947916e-14,1.2398977067107353e-4,0.9999990697033087
1.305,inf,0.13712894903724915,0.15930417563916394,0.267860091021318,1.220459130007928e-7,0.33682864175510785,0.962286185745843
1.305,prot,0.008325511690207187,0.08683273310693412,0.6774554924880376,1.620370504440419e-14,1.9418165327356185e-4,0.9999996224341593
1.392,inf,0.13496254023598078,0.15759514464224306,0.25594957394193957,4.995806256796089e-8,0.3242045846702538,0.9612256725109735
1.392,prot,0.01015325125790236,0.09761680223949015,0.6923374097493679,1.5765166949677223e-14,2.980942806701803e-4,0.9999998430424661
1.4789999999999999,inf,0.13258665589607305,0.1556930216420827,0.2443787420926029,1.9632184905510854e-8,0.3094847164267296,0.960325312225106
1.4789999999999999,prot,0.012454903672011538,0.10962434554422235,0.7062327021709276,1.4876988529977098e-14,4.680580197105044e-4,0.9999999395517609
1.5659999999999998,inf,0.129699680995474,0.15362876209226703,0.2330571741213998,7.702238538983181e-9,0.2950564779380532,0.9595693869702072
1.5659999999999998,prot,0.015223398538486919,0.1228235697579802,0.7194647702366468,1.4205303600078908e-14,7.182623420941558e-4,0.9999999776031949
1.6529999999999998,inf,0.12643060319227448,0.1513987344724813,0.22145012615010576,2.909647046737253e-9,0.28064272179911054,0.9581951952456568
1.6529999999999998,prot,0.018639392706850336,0.13747071016393958,0.7325612340217782,1.3322676295501878e-14,0.0011203285523436746,0.9999999913711964
1.7399999999999998,inf,0.12275807740468038,0.1489192990551878,0.21038872279492202,1.0805192443677064e-9,0.2662167105296044,0.9574031250264909
1.7399999999999998,prot,0.022696366445084735,0.1536576847920989,0.7454079351632427,1.2428946760678658e-14,0.001694266280704404,0.9999999967701865
1.827,inf,0.11875998940159059,0.14626218621590448,0.19985643131942282,4.1119776478007533e-10,0.25267739788085364,0.9559591843962058
1.827,prot,0.027550554161022093,0.17123068283633303,0.7575670009224655,1.0880185641326534e-14,0.0026707496925665875,0.9999999988414826
1.914,inf,0.11464402479422155,0.14334657196425687,0.18948162463161441,1.4989099254504287e-10,0.23713025111693498,0.9549259569748814
1.914,prot,0.03348143048418398,0.1903005846401314,0.7700773163930329,9.54236689665325e-15,0.004200802644878654,0.9999999995713723
2.001,inf,0.11038760902495053,0.14011775088140407,0.17987174711918674,5.3949687221590453e-11,0.22282749526396922,0.9541963697403537
2.001,prot,0.040487685638183654,0.21090470713132992,0.7828660988987113,7.549516567451064e-15,0.006463892646931868,0.9999999998552094
2.088,inf,0.10600158369455714,0.1365611037919035,0.17104894150829672,1.928038662592058e-11,0.2098555851230024,0.9532157060759546
2.088,prot,0.04896364184185815,0.23350160300559525,0.7951078987581774,6.439293542825908e-15,0.010087530347163365,0.9999999999487093
2.175,inf,0.10146978745705314,0.13272098754220857,0.16282546243918997,6.549335529289592e-12,0.19622486640629946,0.9521543206888919
2.175,prot,0.05927551294354949,0.2576172370536962,0.8075551053681134,5.3290705182007514e-015,0.015033644960485482,0.9999999999821934
2.262,inf,0.0969432997276958,0.128517332430815,0.15583789259988853,2.2661021978330686e-12,0.1813398887159408,0.950965255919785
2.262,prot,0.07125378872828349,0.2837196073156445,0.8186032860954239,4.440892098500626e-15,0.023453301396234028,0.9999999999937687
2.3489999999999998,inf,0.09237522478611271,0.12380581854364735,0.1502125036835379,7.520681366911362e-13,0.167196547239351,0.9504584159658931
2.3489999999999998,prot,0.08527203517117077,0.31120831277749333,0.8297036562344637,3.3306690738754696e-15,0.03654238543510818,0.999999999997763
2.436,inf,0.08793233216106357,0.11859008713680404,0.1452033323800312,2.5447767272648057e-13,0.15301213861366245,0.9494892361448396
2.436,prot,0.10181339781791562,0.3397818497091345,0.8401761999508007,2.6645352591003757e-15,0.0551287704264069,0.9999999999992071
2.5229999999999997,inf,0.08343253623406895,0.1130922810417416,0.1407793741603771,8.397894515783141e-14,0.13869255436664707,0.9486814017967417
2.5229999999999997,prot,0.12151032121694502,0.3696659255538126,0.8504359366678792,2.220446049250313e-15,0.08236753432513044,0.9999999999997405
2.61,inf,0.07896814312516116,0.10735164972884652,0.1362977407621169,2.6466507184344015e-14,0.12601800605487276,0.9475969903643575
2.61,prot,0.14370428452995618,0.4005878472468367,0.8601161748004423,1.7763568394002505e-15,0.12110608173404758,0.9999999999999146
2.6969999999999996,inf,0.07450720279696983,0.10152637889065295,0.13154393271992937,8.419538268999174e-15,0.11174800063689441,0.9464076991159981
2.6969999999999996,prot,0.16907769601737332,0.4327053394995561,0.8688795690301574,1.3322676295501878e-15,0.17511813538222692,0.9999999999999745
2.784,inf,0.06988288474128213,0.09558462403580666,0.12662207844248033,2.731906087806542e-15,0.09833498486902073,0.9457704332376293
2.784,prot,0.19788935706217411,0.4653523029205063,0.8777826187555009,1.1102230246251565e-15,0.24251603871684302,0.999999999999992
2.871,inf,0.06530511427662464,0.08959056003853674,0.12126727156655448,8.857791553098142e-16,0.08584624440433243,0.9447517488304382
2.871,prot,0.22937584514330855,0.4984188594768315,0.885979071722874,8.881784197001252e-16,0.33176369036263625,0.9999999999999974
2.9579999999999997,inf,0.060704380901077416,0.08369176848885415,0.1156381736710314,2.844628438062994e-16,0.07430697848445497,0.9436153303439823
2.9579999999999997,prot,0.26396151287388764,0.5318002190965829,0.8941707966418393,6.661338147750939e-16,0.4333136004230665,0.9999999999999991
3.045,inf,0.05614369326131869,0.07791789937058974,0.10962448429031356,9.807228854709668e-17,0.06372464004189073,0.941781799329436
3.045,prot,0.3014599813417893,0.5651240029899167,0.9009801115275617,4.440892098500626e-16,0.5388900484368121,0.9999999999999997
3.1319999999999997,inf,0.0515771670816045,0.07225045892467372,0.10334314566114844,2.5423059486280013e-17,0.05320944601926763,0.940352522129103
3.1319999999999997,prot,0.3410893041138849,0.5977189634943262,0.907847395048902,4.3853809472696713e-16,0.6478315953032976,0.9999999999999999
3.219,inf,0.0470638522799246,0.06671090090328874,0.09678691041172963,0,0.04357914171397188,0.9391735080669629
3.219,prot,0.3818657831561959,0.6296256988414878,0.9140708693668043,2.220446049250313e-16,0.7418284283269405,1
3.3059999999999996,inf,0.04254560354008138,0.0615091832860259,0.09026925084759564,0,0.034769808595542406,0.9381456621361387
3.3059999999999996,prot,0.42409665827425647,0.6606689166109828,0.9202011597857803,2.220446049250313e-16,0.8170300327281408,1
