logHI,prob_type,prob_lb,prob_med,prob_ub,prob_lb_prior,prob_med_prior,prob_ub_prior
0,inf,0.1436943330183018,0.17715335652659747,0.43397043541104274,0.0021666652144049863,0.4550155702508804,0.9695769915671217
0,prot,8.516107692227858e-4,0.040967456677094394,0.6833391465611605,8.881784197001252e-16,3.225096307235553e-7,0.9902712881359685
0.075,inf,0.14141758669305704,0.1763926257319568,0.421584260079618,0.001644907837812746,0.45087947225992275,0.9692936538704346
0.075,prot,0.0010149575451279954,0.04505535498835134,0.693186328471045,1.3322676295501878e-15,4.714691191898268e-7,0.9933796993052266
0.15,inf,0.13911172791619103,0.1755780905463477,0.40989837268095913,0.0011328027454136646,0.4470324369453319,0.968961003329747
0.15,prot,0.0012190943313659165,0.04950984940133524,0.7025745562283502,1.7763568394002505e-15,6.998824352288935e-7,0.9957513794815656
0.22499999999999998,inf,0.13629925834532583,0.17469721690672504,0.3980892650774672,7.65251061685047e-4,0.4430948814926976,0.968589572774391
0.22499999999999998,prot,0.001461098654714486,0.05443999318870657,0.7117895479604274,2.220446049250313e-15,1.038056135382881e-6,0.9973082656903114
0.3,inf,0.13361033964118596,0.1737372212589875,0.38585345612502947,4.992260489969845e-4,0.43896524372188406,0.9681467683226211
0.3,prot,0.0017481148273911797,0.05977356636381098,0.7205467320016159,3.1086244689504383e-15,1.529630520524794e-6,0.9983803188649627
0.375,inf,0.1308701095481492,0.17279708119897386,0.3730356676033896,3.1598149519438524e-4,0.43317356427027853,0.9677563696403163
0.375,prot,0.0020902192321025173,0.06564589704883572,0.7297520479326725,3.774758283725532e-15,2.181207599039059e-6,0.998994293611765
0.44999999999999996,inf,0.1279514581935507,0.17176850849715447,0.36057483811025165,1.8952844094370769e-4,0.42819103716871093,0.9675707931404244
0.44999999999999996,prot,0.0024938866263534342,0.07212112697767281,0.7388544221421683,5.10702591327572e-15,3.176680366756557e-6,0.9993860098044651
0.525,inf,0.1250704737217093,0.17068626967044895,0.3473029191156351,1.1169338136994e-4,0.42238045692282744,0.967037899236897
0.525,prot,0.0029733445538068642,0.07908765348893532,0.7474118477070656,6.661338147750939e-15,4.587834977531902e-6,0.9996605267852737
0.6,inf,0.12190372378533393,0.1695322051698911,0.33492590026179947,6.262596285191138e-5,0.41515560658811335,0.9662670376374244
0.6,prot,0.0035326643127144533,0.0868369473203176,0.7559712184115549,7.993605777301127e-15,6.653725611205363e-6,0.9998097298169716
0.6749999999999999,inf,0.11882680460450565,0.16830928726522687,0.3235422796144808,3.4440454392731574e-5,0.4079423433644241,0.9656623137490061
0.6749999999999999,prot,0.004209692981453995,0.09511062858636382,0.7646071354364113,9.103828801926284e-15,9.498444388411631e-6,0.9998990239797357
0.75,inf,0.11578318415929029,0.16698120089101653,0.31223927295405157,1.9238179796265554e-5,0.40100434538842056,0.9647840246148018
0.75,prot,0.005025068242462999,0.104089757041404,0.7725523546187896,9.769962616701378e-15,1.394739424614988e-5,0.9999443169792248
0.825,inf,0.11260976518259075,0.1655393836783725,0.3006636366564019,1.0004412871279983e-5,0.3926133976228515,0.9642723853026138
0.825,prot,0.005983847739259279,0.11368637614116145,0.7807470999438914,1.0658141036401503e-14,2.0522828776237123e-5,0.9999703736652448
0.8999999999999999,inf,0.10947908502675742,0.16397574223543943,0.2891381458968636,5.094515157097203e-6,0.3836975138943729,0.96389226106419
0.8999999999999999,prot,0.0071500322605779236,0.12412441834665983,0.7892197786422025,1.2434497875801753e-14,3.0038737396431703e-5,0.9999846693326203
0.975,inf,0.10632823472600059,0.16242064381045068,0.2788684205551202,2.66044264048514e-6,0.37376392247060386,0.9632027588069778
0.975,prot,0.008522807368309817,0.13531539823325844,0.7966300940202132,1.3322676295501878e-14,4.395173131754859e-5,0.9999928247789128
1.05,inf,0.10319779424103925,0.16063597246504555,0.2680174216695079,1.3637500708065044e-6,0.36462954821449745,0.9622725866455963
1.05,prot,0.010139661034375117,0.14734190387559232,0.8044684100878523,1.464939280992897e-14,6.475454358506605e-5,0.9999962358595129
1.125,inf,0.09995617525315975,0.15877606876617334,0.2568884528748863,6.464124145481745e-7,0.3543528340267364,0.961474629320246
1.125,prot,0.012104928832960663,0.1602877192226968,0.8119463500714296,1.509903313490213e-14,9.438987435222979e-5,0.9999981695854913
1.2,inf,0.09691633821335591,0.15666624720978448,0.24646100173769786,2.898857812945828e-7,0.34443054217541624,0.9606881520549954
1.2,prot,0.014428835001201491,0.1742323146015815,0.8191687049943985,1.5759615834554127e-14,1.352685065343362e-4,0.9999991970675762
1.275,inf,0.09380644210595579,0.15437826566687496,0.23622383854338372,1.2753639121968498e-7,0.3336956814249862,0.9596565992962867
1.275,prot,0.017156672184138414,0.18903388306698815,0.8265860267787918,1.532107773982716e-14,2.0029909079744002e-4,0.9999996211263417
1.3499999999999999,inf,0.09076512229142548,0.1518615011432557,0.2268342669269399,6.182227563251852e-8,0.32321748178685683,0.9588799413233591
1.3499999999999999,prot,0.020332728696050902,0.20493052016188723,0.8337307234059508,1.4876988529977098e-14,2.869031363651464e-4,0.9999998359355916
1.425,inf,0.08773165459414206,0.1490985103231422,0.2168064317987741,2.625350393853028e-8,0.31201344044113555,0.9580095366579713
1.425,prot,0.024089079199387835,0.22162551907581368,0.8409658641071103,1.3988810110276972e-14,4.270376137043286e-4,0.9999999235180718
1.5,inf,0.08474852449286316,0.1460283442912212,0.20735061621982342,1.1186815189300608e-8,0.2999068963076176,0.9571375340429562
1.5,prot,0.02858758466894,0.23938647052857043,0.8474141227334929,1.354472090042691e-14,6.149710953236576e-4,0.9999999659191076
1.575,inf,0.08176727934159361,0.14268289065620673,0.1979547858565812,4.982383846592473e-9,0.28757715867201183,0.956181061227296
1.575,prot,0.033928624056331166,0.2580712031655933,0.8536014763267767,1.2212453270876722e-14,8.945972747186892e-4,0.9999999854165456
1.65,inf,0.07907159018797232,0.13911909899003974,0.1887257167712644,2.048077571686441e-9,0.27556467671161966,0.9553499710301304
1.65,prot,0.04005694937518289,0.2773017286052664,0.8597957976036109,1.0880185641326534e-14,0.0013075108107848954,0.9999999937574232
1.7249999999999999,inf,0.07629036067603165,0.13532880327577104,0.18149341533002095,9.018602573272229e-10,0.26333033335266476,0.9544096757373534
